Gene	ERR1607958	ERR1607959	ERR1607960	ERR1607961	ERR1607962	ERR1607963	ERR1607964	ERR1607965	ERR1607966	ERR1607967	ERR1607968	ERR1607969	ERR1607970	ERR1607971	ERR1607972	ERR1607973
YKL026C	2.6221136808875363	2.4577084770524626	2.6358875707094205	2.6900643227152035	3.799778215984312	3.7721338439157757	3.779595298341837	3.8683851451790807	0.9556970596810676	1.021397997480431	0.9805470388355368	0.9564848944337252	0.9750340639957991	1.0074419717763372	0.9618558634359636	0.9758400181882549
YKL027W	0.9324618865271602	1.0721243823942577	0.9611980820595923	0.9387277860972091	0.9034148287159447	0.9244033039065715	0.8874503656934137	0.9213006999206416	2.3584341324042177	2.3302910388563323	2.3666510791631925	2.131265273578322	2.0842103592964696	1.9503098182662952	2.095610926617149	1.9995788231282872
YKL028W	2.0307248801270004	1.9678872792607127	2.08231437513507	2.095610926617149	1.9226242594492495	1.8411248857219307	1.8693053629216727	1.8839157468545527	2.6270003011324707	2.7654271959884937	2.704507840502777	2.7236717615467754	2.6090886518392895	2.6150488821599733	2.546082799072246	2.619872287351999
YKL029C	2.278874212359299	2.209239445250577	2.190477366617656	2.269737870879191	1.8570278580513524	1.9953613875088607	1.825551722049143	1.887442807241368	4.946930681461252	4.90291775622522	5.317442405254187	5.291886226132929	3.6601835005432726	3.688422728620983	3.3715707598044173	3.3304551213520375
YKL030W	0.21082087064900992	0.27192296771113056	0.2935499457549783	0.4626138975914746	0.45393492735857865	0.4798664129086254	0.0685121217353406	0.5351711592561661	0.37387252367383783	0.4499277743875222	0.5334409002906811	0.08061421875457914	0.2116531725529231	0.47130795351814453	0.33344452374381367	0.39597379959843887
YKL031W	0.5761709952019751	0.5790284656813238	0.5971051858668761	0.5883866073761919	0.47855923799327377	0.5917738348274523	0.5501354106719671	0.6330048461543683	0.5605994589393468	0.5201636946856775	0.5094303634869016	0.5155696121736053	0.5277041886583345	0.5711449061221573	0.6266626674521516	0.5402083361943922
YKL032C	4.011192371455821	4.711933296700684	5.683399443969515	3.8600152897354585	3.638650125779378	3.109744558465345	3.321459275422391	3.4782530836450087	2.3290883439127854	2.2918644482081616	2.3749171814102237	2.4290492322557995	2.3855204453720633	2.3215330228534823	2.283032536409964	2.2819070401893207
YKL033W	1.4266317764183583	1.4202205763178386	1.424049005486249	1.3330837077946154	1.382158505510069	1.4402459924806543	1.383045981286433	1.4343883041874457	1.4956734259444102	1.5203257361574327	1.526238424492385	1.5102442256555215	1.4612825034216699	1.5211888973739782	1.4953076693674554	1.5186021406152963
YKL033W-A	1.5135478951082615	1.5222263822240674	1.5473352893229666	1.4780939464507663	1.5095248877848138	1.4171974077462768	1.4956734259444102	1.424049005486249	2.8204149754033576	2.7236717615467754	2.6236616636212746	2.619872287351999	1.996123316979252	1.9935861494681335	2.0917433470788156	2.0911539790145577
YKL034W	2.2503989541749037	2.0173867734600286	2.2546621950403525	2.2158941329378496	2.18505663789754	2.089005490967759	2.1917555664264334	2.134851757416287	1.7792736050532816	1.8664939767765072	1.8396312173713107	1.828783470987291	1.869830691987898	1.8884953637831412	1.8793261312539309	1.8472358254154846
