Gene	ERR2653627	ERR2653628	ERR2653629	ERR2653630	ERR2653631	ERR2653632	ERR2653633	ERR2653634
YDR543C	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.4428070956095833
YDR544C	0.5474168800285554	0.6348483614022801	0.7360732398811609	0.6606734301099234	0.6911496195327205	0.512805102191215	0.7096324408067757	0.601677450111175
YDR545C-A	0.6340445096882371	0.557694492414548	0.49898499032254484	0.59322577026074	0.5862402987461439	0.5196139159186952	0.48163585148227983	0.5213342590997749
YDR545W	1.2663602678477779	1.9450616677313404	1.745035648983397	2.2766173697170187	1.2813366953433494	1.6244679009270193	1.6706460461163535	2.422126955258588
YEL001C	2.7893385728069493	2.6713800948005644	2.6937389984483806	2.9383268816778667	2.9747064115709483	2.8951249004244923	2.72812706698633	2.7567159959489205
YEL002C	5.081297996929054	3.8545781800597165	4.946930681461252	3.781567825713533	5.24032715569555	3.717699229371058	5.186682940928689	3.698042987336524
YEL003W	1.422350832360289	1.149990589132796	1.1115395336575615	1.2587242527177336	1.4416452080085147	1.226599088810843	1.0959685486426314	1.2103353834462247
YEL004W	1.0006964156986682	1.0572068332097684	0.9005088695045532	0.9842591589144629	1.042602442106082	1.0113887150545837	0.9641646613228146	0.9755775256592157
YEL005C	0.896880253932235	0.9229124758316769	0.9086249945996636	0.9355611998651803	0.9074751725004302	0.9483270984429537	1.018835033714013	0.9965071680574129
YEL006W	2.153750463768967	2.156645666224092	1.9617155511131474	1.8469134045987854	2.20177842439281	2.019274073030743	2.0004403289447437	1.8411248857219307
YEL007W	1.941811511220414	1.9038756055256754	3.043524716307605	3.071909838092634	2.1941809605894056	2.1227317660179015	2.897354329846885	2.836399671565577
YEL008C-A	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.18057771223274396
YEL008W	0.1549442179228085	0.6451396986603857	0.594413626154197	0.61935942895501	0.5766481620575882	0.5328253433366934	0.5903219836185399	0.5167122529695116
YEL009C	8.83219217241757	8.588382721241128	8.504373212476374	8.565315738785966	8.768000765249877	8.63309550036581	8.488234787372901	8.251432549138935
YEL009C-A	0.6472316178025689	0.4084756005172566	0.45790906003266685	0.5726735941565295	0.6160635677483824	0.4719676881004735	0.5908384469996739	0.18057771223274396
YEL010W	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.18057771223274396
YEL011W	1.1351582270425664	1.2876972758735103	1.747802617367464	1.9056555129007529	1.0197947116856545	1.1820094019866612	2.0490149523735233	1.8389746927900372
YEL012W	1.2902614610175194	1.2068029978762265	1.5931306881880185	1.43044466668241	1.260884657025905	1.1487523866940879	1.7141271235645466	1.450826731941856
YEL013W	2.471907521266604	2.972304206317472	3.25096603019828	3.210560844050283	2.608465398508481	2.755210842361506	3.1841302490292134	3.329659069908829
YEL014C	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.18057771223274396
YEL015W	1.9010986274531247	2.0119341956062615	1.9858976216961512	2.304690420375678	1.9714959294480812	2.1187806482908575	1.9617155511131474	2.3375586975119385
YEL016C	1.0208829098232768	1.1584854545954877	0.9651451713619661	1.122237704690186	0.9805470388355368	1.1158701719530817	0.9948776616926288	1.090225544729482
YEL017C-A	3.266910781249353	3.637563437356669	2.89588992947028	3.235662259558635	3.561811285658851	3.339568428474442	2.9404392772297747	2.944447566445395
YEL017W	1.6835046411755354	1.3805399877120168	1.860265320714296	1.3430114188545064	1.6324642731018124	1.3202421158727145	1.755076928498748	1.3805399877120168
YEL018C-A	0.4573155113746993	0.15838297987249383	0.16058354857499502	0.48163585148227983	0.5453153045399664	0.1641123221332098	0.406121960063705	0.517308718452646
YEL018W	1.0329997610471742	1.048675607364403	1.0496273878921056	1.0127812853789737	1.053741875424431	1.0433899551101846	1.136452047189262	1.0116284524620207
YEL019C	0.7436679675413722	0.7852193854761859	0.8475495401311928	0.7736688957490465	0.7683673250961773	0.7658649420351906	0.8283603683038511	0.7933255641841063
YEL020C	1.3627398871813172	1.4202205763178386	1.3917914297836647	1.301521522414338	1.2866045501072783	1.5237415975504986	1.5200725027731843	1.4124994222844922
YEL020C-B	0.49898499032254484	0.7178374935828138	0.6032366703699997	0.4418698184192296	0.580007707518512	0.4960102775453341	0.5998147956284894	0.6236009287569538
YEL020W-A	1.703317480230945	1.3647817484524607	1.4676311916627467	1.5139275970840371	1.707952429643529	1.5349268826877531	1.3399981673988017	1.3501417714551156
YEL021W	1.989125188474285	2.0925454329697306	2.0502692270069325	2.4120944315231325	4.035065367578067	9.644976805209001	4.278916416200948	9.52481585548779
YEL022W	1.6804891354046148	1.9056555129007529	2.114108607582178	2.022945143078334	1.8012729415122208	1.8456977135857133	2.0588394178647915	2.2080640827250657
YEL023C	0.9136207321829626	0.9700684658945986	0.8865882059721394	0.9433758537121245	0.927923912190785	0.9599188841366383	0.9353088191999785	0.9581545846567737
YEL024W	2.9528456395100893	3.730083047869277	4.020534855223488	4.501352653971649	3.2584190042146477	3.2626461188598914	3.798028662976357	4.2051015407296415
YEL025C	1.6355911414524873	1.9345209346144598	2.1469537592122068	2.1528004417926376	1.5838127337337453	1.7608233986546276	2.098243135262806	2.0116160364105284
YEL026W	5.539818966041282	5.221787266494389	3.300276755384388	3.6284393286354883	5.310883878328428	5.221787266494389	3.123353560859032	3.5103994774816165
YEL027W	7.556046341241599	6.97354987588769	6.41573750131383	6.300379556567287	7.812264749543306	6.778931587152802	6.663710832433891	6.045619567726437
YEL028W	0.8228944682595114	0.7939611966703408	0.784823585003687	0.7859255125399847	0.7828637309128312	0.7819904133911513	0.7759456427273681	0.8035255052839377
YEL029C	1.7501596261208425	1.7597916931960103	1.5473352893229666	1.4147959445803224	1.800933728854956	1.7659891128920948	1.4912881162628386	1.5798089995288773
YEL030C-A	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.5532040952951327	0.5271488259666935	0.18057771223274396
YEL030W	0.962785136912176	0.9761061311399981	0.9158907000741368	0.9743052259343197	0.9172485395278134	0.9724310915193812	0.9168990756275559	0.954325576294455
YEL031W	7.452319673384478	5.406356506049445	7.682183508017526	4.944984583263994	7.6777054292823514	5.206151421249244	7.812264749543306	4.8946229238656205
YEL032C-A	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.18057771223274396
YEL032W	2.112971256024786	2.172601727044219	1.8809330215793394	2.0842103592964696	1.8903053336755336	2.283032536409964	1.8963455204740067	2.2265963074166786
YEL033W	2.7972860643962707	2.2225125325132287	2.4156867558868917	2.645560222238343	3.2467536152209346	2.9102008712412104	2.2756724423682018	2.0515173155608935
YEL034C-A	0.9867699966187559	0.9833193558867247	0.9785077992692	1.0561980101348227	1.0153900371427005	1.0295505137608776	0.9133907831800575	0.9753167863466176
YEL034W	8.412410843390983	8.118473135183752	8.39218632106191	8.71101546898817	8.488234787372901	8.442747344000118	8.352582107985391	8.056476510665892
YEL035C	0.6418064258177824	0.6606734301099234	0.5804470141591905	0.5857991284964661	0.5479612307343303	0.5908384469996739	0.47667280714279003	0.18057771223274396
YEL036C	2.022945143078334	2.267552868047066	2.0751080289734807	2.131787826302509	1.8747894065030453	2.3481389080244863	2.026594047118655	2.3040494780829137
YEL037C	2.521101674606978	2.7236717615467754	2.6573692397069117	2.796620594262447	2.270375079664376	3.170207767886935	2.6937389984483806	3.118251167178124
YEL038W	1.92192402629937	1.8159855831004752	1.7146632643422655	1.8982106964633922	1.748712773581212	1.6996353658386003	1.7344300952959864	1.710981628995936
YEL039C	0.7831893122957334	0.7828637309128312	0.928467265200341	1.079550625831193	0.7033342161334646	0.8228944682595114	0.9711030051679485	0.9630201701417429
YEL040W	3.9267861535639867	3.6565827010673946	3.871726878721533	4.444065371899854	4.098547845405717	4.6887496394674875	3.2467536152209346	4.444065371899854
YEL041W	0.9310395638132021	0.9618558634359636	1.2691976674074679	1.153746371633276	0.9246737224747658	0.9371291489686768	1.433890955070962	1.161876185142916
YEL042W	3.7736434671415617	3.8740733043045776	3.5574641952228894	3.630112853845728	3.867035496302715	3.6565827010673946	3.43439340724483	3.509709136952973
YEL043W	1.7851556986607893	1.8616516294905228	2.018065057255032	1.9216411488803926	1.7329444539065062	1.9335120568810134	1.880616109941689	2.0078771259360013
YEL044W	1.7154852285073852	1.5780020949052518	1.4826318643086758	1.5091874544621933	1.5174308363967275	1.6926526191834652	1.5580920644111047	1.5379571527716687
YEL045C	0.5021547946305174	0.15838297987249383	0.3874825560150803	0.17356206079677466	0.4923931415807441	0.5315816374076917	0.5784979869452672	0.4246520530728335
