Gene	SRR3655584	SRR3655585	SRR3655586	SRR3655587	SRR3655588	SRR3655589	SRR3655590	SRR3655591	SRR3655592	SRR3655593	SRR3655594	SRR3655595	SRR3655596	SRR3655597	SRR3655598	SRR3655599	SRR3655600	SRR3655601	SRR3655602	SRR3655603
YOL020W	1.4873374845814136	1.4145850068005283	1.6577136714854723	1.8364481886579536	1.3501417714551156	1.7060553710373547	1.979599475969719	1.4656866817820804	2.125539456816619	2.03534585680023	1.3415110593736435	1.5346420453957437	1.2158912996647506	1.4654150017492882	1.4644004431882471	1.5176859033986132	1.8146625477499978	1.6679088978370669	1.7456837999378207	1.6143197438743986
YOL021C	2.029679433003224	1.5850835939936037	1.8974446631289204	1.5035250345058322	1.681155314578522	2.039304330196178	1.6597099098723391	1.7777826428770167	1.1935893676911817	1.7308980298931798	1.8841681802870607	1.8270296097691594	1.7864918361447626	2.1747976931760897	1.8917751061657104	1.896722479368395	1.9461198473943289	1.8096230721319877	2.0347101993604544	1.9422377546308383
YOL022C	1.5724050148468607	0.9661065719466586	1.1591032195683235	1.0473255882158952	1.4071472963330418	1.2632038420686231	1.9412167677259387	1.860265320714296	1.805531779280642	2.1635733194087736	1.6121131168194096	1.6301081710399905	1.7808879707002485	1.5316283981599268	1.7357601044198845	1.821991687976845	2.187841788597569	2.036506935782838	2.010184835262003	2.1635733194087736
YOL023W	0.8347213802753457	1.0195858238285196	0.44446616714740195	0.46191811066646876	0.7526077496393166	0.332001932152033	1.0169543654888078	0.9229124758316769	0.954325576294455	1.3159452170147028	0.874127632036666	1.1015373725244124	0.8627124639261939	1.1238470649192767	1.096419128802456	0.792738820596042	1.1792514703361292	1.2068029978762265	1.1227900644113653	1.3231720179643003
YOL024W	1.0220755989228816	1.168438139907473	0.8755715131463493	1.085924239344241	1.0263352573221465	0.8212563065464553	1.1615563671453117	1.0509919723455052	1.0160625928003053	1.2033234508590933	1.0530858437603978	0.9480567405730473	0.314860972930152	1.0103234001552348	0.8839212189147913	1.2668144641120485	1.0849470554988228	1.3074560261431245	1.234461571288738	1.6385255569838333
YOL025W	1.8258831100761495	1.6260871805379453	1.9064037701106034	1.5211888973739782	1.5224920722512671	2.066865827195314	1.5666039142742374	1.5513605404469424	1.8137643349975803	1.5127951022760495	1.5340821572913481	1.9598669716202395	2.0347101993604544	1.8827935651396448	1.7579964491070088	1.5955722853176582	1.5706449347314781	1.554490940355091	1.6168179568410703	1.5084672218913728
YOL026C	7.432910941786997	8.423926762592561	7.995929521708511	7.520099548812197	8.323076464926592	7.8272803844083185	6.269069423560913	6.6132117964292405	7.440454892985944	7.141063876425247	7.440454892985944	6.8393800992888965	7.260831774972612	7.093352780634183	7.538814871725129	6.093306801816242	5.728325745546568	5.342706711427809	5.852973332697623	5.24032715569555
YOL027C	4.84921459427559	5.214611347083714	4.79449133639527	4.561149509162873	5.511250250564805	4.797675999036535	5.300869040247081	4.96835028938277	5.340770923421143	5.511250250564805	5.429915968420845	5.740083331388864	5.458075625872152	5.496421863839884	5.683399443969515	5.978258016537585	5.962048339243134	6.244440612975547	5.713891636987398	5.7837605181983704
YOL028C	0.32242536387829723	0.5971051858668761	0.44446616714740195	0.7721249037382876	0.36241043974018516	0.7552022275937245	0.28966253016949245	0.38294661843166744	1.1727605352718977	0.444045522890658	0.8113380510938963	0.92876701345025	0.314860972930152	0.6257027539932151	0.34653277293700024	0.37534598537785985	0.36536256325255323	0.3860537584320394	0.33308388384289533	0.3844484752166766
YOL029C	1.6600520850001765	1.163148117772915	1.3030378045735396	1.6166161101325447	1.3189390371196414	1.4396230739025615	1.7597916931960103	1.2217037886609887	1.8563991097203076	1.1088046280267125	1.3051237130938609	1.419052799067789	1.3347286216125283	1.693562169131408	1.6747082997300928	1.4538780860818183	1.5417567773584575	1.6880666646595373	1.5000799199799935	1.5120685873032684
YOL030W	1.3437876669927487	1.4295702270361488	1.2931292287384748	1.2452063708130834	1.7579964491070088	1.4982126559964353	1.2675874228146211	1.2260827950718258	1.3978876402857363	1.5537340163051656	1.3234131193425862	1.4895822606858697	1.2483079694594428	0.997254831454268	1.2950098825384349	1.3757142352485423	1.345049906567049	1.2691976674074679	1.7441429349122837	1.4451588363280812
YOL031C	1.5987927212142319	2.0428975087879375	1.8435076843745892	1.9461198473943289	1.8963455204740067	1.7121695195706765	2.029351227570105	1.9935861494681335	1.9324506404079083	2.3797236472893077	1.7393181532254094	1.2777710100869806	1.992782100681078	1.703317480230945	1.828783470987291	1.3461140305826023	1.8306846403244625	1.7572104754343312	1.9638233932120288	2.029679433003224
YOL032W	1.443233947025976	1.94981406693732	1.80070526826455	1.8070324634335824	1.7137997630704314	1.5203257361574327	2.069263086587821	1.6747082997300928	1.896722479368395	1.5114584434002118	1.529013740967798	1.7159422779199134	1.9976876306745353	1.1451846328294015	1.377642708602242	1.7344300952959864	1.62861762961099	1.490902710378268	1.4959105416217777	1.7707112973067696
YOL033W	0.942600262617663	0.5971051858668761	0.7986315564105952	1.1199336474161388	1.2400539344887758	0.6808264437513107	1.1517772918662472	0.9190303516611946	1.0059643077239924	0.8552015296503253	0.9837819509074248	0.7790251573989402	0.9552307699434832	0.6257027539932151	0.9347962210809692	0.37534598537785985	1.14325501454613	1.0276566606172621	1.0031285007005186	0.9193914464984714
YOL034W	1.1011851792284086	1.2348042121285232	1.0250980772409333	1.0456184786357754	0.36241043974018516	0.9861780693763333	1.1268318869429659	0.9490643106610751	0.4943255732318295	1.1163392851501983	0.9711030051679485	0.8507753593602431	0.987646160474418	1.0555614964794227	0.93311585920472	0.9138709659055333	1.118847622987004	1.1381402983854527	1.0956499984409183	1.229809836011457
YOL035C	2.104829009437323	2.377981094135796	3.28538011547977	3.039652037992175	2.029351227570105	2.4305939179975584	1.4743893108957125	1.7165320269438396	0.9477217462889823	1.0625301810691234	2.2455545352241177	2.297106502399783	2.1227317660179015	2.41447402580617	2.0520611072252235	1.3997000795834285	1.2494613910411334	1.290577258678008	1.4230001805754744	2.002019307794638
YOL036W	0.32242536387829723	0.9512716409235427	0.44446616714740195	0.8659634138244379	0.8596758315242243	0.332001932152033	0.7947300139669613	0.7835417076682942	1.1255905771529688	0.444045522890658	0.3493524440840029	0.43602159242321964	0.314860972930152	0.6257027539932151	0.34653277293700024	0.8150704188558425	0.36536256325255323	0.7813446558824603	0.7186198868202848	0.3844484752166766
YOL037C	0.7669483916627768	0.5971051858668761	0.44446616714740195	0.775660930172639	0.777716172713928	0.332001932152033	0.7955241314384575	0.38294661843166744	0.4943255732318295	1.2889147413262674	0.6992547547300882	0.43602159242321964	0.8998270469517922	0.6257027539932151	0.34653277293700024	0.92876701345025	0.36536256325255323	0.9703219186245624	0.33308388384289533	1.0739410400398066
YOL038C-A	0.6430752331078344	1.0076604191111178	1.0948871690288964	0.9536288459880661	1.1579071207526275	0.6427917632344077	0.786211478208053	0.8343121206638889	0.8347213802753457	0.967131197464329	1.1098101859061158	1.1115395336575615	0.8708525845185034	1.3582190463054162	0.9376233609444846	0.8605145979287532	0.807821258704055	0.8443401581218037	0.9432427968856477	0.9290768754781793
YOL038W	4.483635934311721	4.540048371986402	4.815903509084704	4.036302961834079	4.249468953385909	5.158695533469638	4.156634209021049	3.280344810496498	2.3411046397732918	2.6924275233043367	4.511021807800644	3.977265146748268	4.594149847896719	3.779595298341837	4.79449133639527	3.779595298341837	2.9167924078835936	2.417312664283963	2.4410954650034817	2.99841665368951
YOL039W	7.880422303718248	6.980209459751965	7.8272803844083185	8.970719208561526	7.797260870173277	7.594049194375483	6.460765726030308	7.228759868190391	4.963673930256058	5.188912633503921	7.404226707043752	7.452319673384478	5.989244031558689	4.900242658971436	7.130206970739139	7.594049194375483	5.887129146400355	7.15460653538007	6.588215039164706	7.72279632842891
YOL040C	8.63309550036581	8.07782701578447	8.565315738785966	8.210394472430057	8.47821081311369	8.737328884604654	9.051584127962045	8.970719208561526	8.118473135183752	8.858621163143056	8.504373212476374	7.9710783806098835	8.553860458692217	7.594049194375483	7.880422303718248	7.873671516141576	8.434821871571547	8.160510367419567	8.286857413476742	8.76194299762172
YOL041C	4.356020865238346	3.9971490894082358	3.764382163189069	3.1010625008546304	3.9855015355641283	4.1227741795041375	3.726726521073169	3.688422728620983	3.799778215984312	3.8740733043045776	4.647829710668763	4.444065371899854	4.616070553772031	5.862869883434463	4.468786538519117	4.468786538519117	4.301388241013671	4.252675067465697	4.216165684498227	4.529318982743569
YOL042W	0.9689464826177696	0.5971051858668761	1.09668074432881	0.46191811066646876	1.0799530459760436	0.7427275818119887	0.28966253016949245	1.129073223532977	1.1100513181197826	0.8360505632798325	0.7352621973660436	0.43602159242321964	0.314860972930152	1.1383373572826108	0.34653277293700024	0.9207033761235819	0.8374646796133275	1.1225664248261178	1.1876317160872933	0.826789556387002
