Gene	SRR2467141	SRR2467142	SRR2467143	SRR2467144	SRR2467145	SRR2467146	SRR2467147	SRR2467148	SRR2467149	SRR2467150	SRR2467151
YDL225W	2.2430111390716405	2.2868599378007954	2.2430111390716405	2.084998280115087	2.172601727044219	2.286084129750881	2.2562701359516435	2.2413845519293103	2.3453319502526253	2.3164116047381964	2.196439666780048
YDL226C	2.7859890834411933	2.864293979361793	2.8301342585153444	2.543384066391572	2.783611800044904	2.770042601521292	2.4577084770524626	2.7543924964201825	2.677934910856538	2.5653168499083314	2.640437525170099
YDL227C	0.9436685549174398	0.9938704294754679	1.1866425932800497	1.6063096097383278	1.0462026339479127	0.9724310915193812	1.7902696279896202	1.093232777079947	1.002437939567922	1.43044466668241	1.5171753506943437
YDL228C	0.5366827304640422	0.5479612307343303	0.5621950220883309	0.6689929021886818	0.4984129039627836	0.6574487098445283	0.5927246552392569	0.36876775128219974	0.5277041886583345	0.37081052947897053	0.5249623660451517
YDL229W	8.83219217241757	9.112524713799722	9.117671523485999	9.852400593668355	8.723349230426791	8.768000765249877	10.171459498227641	8.93929830392826	8.891690668658846	9.112524713799722	9.52481585548779
YDL230W	1.2328644558088235	1.1284531071396853	1.1216818276527338	1.0757680802323955	1.286963874401182	1.3316026088253663	1.105116114374776	1.1841375375342815	1.2990993598397345	1.1777984407927173	1.2078478808403994
YDL231C	3.3813314606934197	3.36298006335337	3.3561973723571072	2.7761587750330166	3.508009486742802	3.2502874400670088	2.6221136808875363	3.49899322232656	3.3839960944639085	3.3541283803637962	2.9430904350924294
YDL232W	1.1027414440811247	1.0467830490089642	1.0579290560327979	1.0912545217942187	1.027125254309261	1.0512428900155326	1.0303182833244637	1.0534741343682374	1.073337707568333	1.1031365907080777	1.0169543654888078
YDL233W	1.03997765046336	1.0555614964794227	1.077806543037003	1.0395190269866832	1.063041994547287	1.0087266154190069	1.0339509093582673	1.0247625142408519	1.0592666930330992	0.9788131991478303	1.0834313330097662
YDL234C	2.251811182564644	2.089005490967759	2.0095303664941184	1.8509406184903714	2.34871368652978	2.2963087612676896	1.747438018768571	2.1133040755762065	2.098243135262806	2.029971157713695	2.1469537592122068
YDL235C	1.516250673416854	1.5313347836832316	1.5946385669027694	1.704032615821369	1.604008872863674	1.5946385669027694	1.7325945527988835	1.562066584656351	1.5920515044469707	1.5629764920132145	1.6992948129534768
YDL236W	2.753755113227875	2.8951249004244923	2.778769165666725	2.9598179000548117	2.9710294126625185	2.926157953331201	2.9420858728418713	2.6950540751557917	2.888297092296779	2.874376036366658	2.9489655387640434
YDL237W	2.860527174399083	2.619872287351999	2.601045467599933	2.176553590991605	2.972304206317472	2.9740413879399963	2.0818201526626883	2.6492113934734416	2.755210842361506	2.396913668031665	2.4435493923025806
YDL238C	1.5653708153348613	1.4084543011877448	1.3148486997734488	1.0160625928003053	1.8123120392810428	1.557324806728015	0.9500749346079107	1.324832271809128	1.443233947025976	1.29283240430856	1.0944028803141372
YDL239C	1.8978564879187836	1.5056564582581666	1.5769568580615845	1.0959685486426314	2.2178756665490518	1.9261515801217977	0.9967558638356686	1.669035369785525	1.733339930289626	1.4617610876026061	1.307655596193156
YDL240C-A	0.0974590059288438	0.10331333412668639	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.1012371001140656	0.11771471889837985	0.094500771256062	0.0932034663690275	0.0932034663690275	0.10246030070760928
YDL240W	2.0911539790145577	2.029351227570105	2.0630666974781064	1.9843936777810463	2.0647030139659783	1.979599475969719	1.9161326093540125	2.1469537592122068	2.104829009437323	2.007603000657466	2.054997283566614
YDL241W	0.8385706150347738	0.826789556387002	0.8049924842910394	0.8889476196871251	0.8332693022589723	0.8458782584836079	0.9049074688711436	0.8316753871885318	0.8199479288392396	0.8168595654340451	0.913080986068838
YDL242W	0.3918245306433088	0.3446549936388368	0.5993340729502326	0.47855923799327377	0.552373289980524	0.2825998920652203	0.36289849228081145	0.47558350370283164	0.5344067283471592	0.4211859209049911	0.42901846709448554
YDL243C	2.3040494780829137	2.2349911102822513	2.196439666780048	1.0595443395303565	1.9480173808870103	2.922357551865955	1.073715443372318	2.5951525094155894	3.0291045164880286	2.6713800948005644	1.0653490511795412
YDL244W	0.7532707380137978	0.7096324408067757	0.7398670240422394	0.720512898564522	0.7744499811378334	0.7578489448693062	0.7790251573989402	0.7405835483578995	0.7617928841902897	0.7115099871053032	0.7625236240302671
