Gene	SRR7160762	SRR7160763	SRR7160764	SRR7160765	SRR7160766	SRR7160767	SRR7160768	SRR7160769	SRR7160770
YCL036W	0.5143957454941378	0.4984129039627836	0.48444264554332894	0.7118721898738949	0.7331685827509131	0.8094661471014455	0.5501354106719671	0.48784743456352364	0.5361896318494417
YCL037C	0.33504114115973677	0.41481650097483846	0.37314976148161616	0.3844484752166766	0.38527450536212315	0.45790906003266685	0.43795031234458903	0.4032037460775635	0.43795031234458903
YCL038C	2.1935922532045895	2.3428505835531386	2.3934719300908966	2.2751573507132083	1.9340229171287218	2.04815525762746	2.1324072544269503	2.396913668031665	2.3453319502526253
YCL039W	1.7870178347010601	1.9565840585072023	1.7973996025344536	2.210166492557877	1.5050298259068629	1.6247537810894277	2.209239445250577	1.9272602962208538	1.9412167677259387
YCL040W	8.6642995021941	8.858621163143056	8.39218632106191	9.396358655913309	7.216708079113241	6.980209459751965	9.319358897355142	8.93929830392826	8.956104025611879
YCL041C	1.0637677736218842	1.0617853234244363	1.1579071207526275	1.4107915705520715	1.0349841082911815	1.3525937997549913	1.3397025403681515	1.0801891653884743	1.1219190096035527
YCL042W	2.415120052856451	2.926866157875595	2.9450041209862086	3.9472911763865235	2.06746050456616	1.7835421255927746	3.5023293633822385	2.7755286011714513	3.3953082884464205
YCL043C	6.410795975452556	6.300379556567287	5.8754813720011185	7.520099548812197	5.434941324580414	6.993166635916397	7.995929521708511	6.447279231992917	6.357938288444218
YCL044C	0.9802492827846206	1.0206022002370172	0.8535660412014979	1.211874525936522	0.896880253932235	1.0896167580882012	1.3387953116859947	1.0062096433930927	1.0129869973601566
YCL045C	3.698042987336524	3.443069012257962	3.3732356862959616	3.5103994774816165	3.6595384076441637	3.9660349882280763	3.881007457996392	3.545479846767088	3.243303271567622
YCL046W	0.998222149648854	1.0247625142408519	1.0827811573196253	1.0617853234244363	1.021119577244372	1.2338098967694795	1.0695714567178851	0.9722034559835395	1.045288278434293
YCL047C	1.221975305499595	1.1864364221953934	1.3409817541032827	1.3790840131966118	1.0804825165446275	1.2227123072711532	1.303972785922936	1.3030378045735396	1.1841375375342815
YCL048W	0.6302573071871842	0.6340445096882371	0.6213352922730313	0.5917738348274523	0.6126384216509586	0.5526506031785952	0.5883866073761919	0.6834981996843632	0.6078507154558266
YCL048W-A	0.5167122529695116	0.4707279028120907	0.43336761031276416	0.567044210286691	0.40457079215365893	0.3453939386430118	0.49305498645995616	0.4207232445974798	0.46605496690945786
YCL049C	3.334607934936575	3.6507234554185617	3.584153114000686	3.5657198561235677	2.8928216569365635	3.1205563188172145	3.2626461188598914	3.560444243735793	4.015255946251896
YCL050C	4.360623602379331	4.134666531207064	3.799778215984312	4.563463528266924	3.6913941412687885	3.7721338439157757	5.114207994503531	4.345100504035207	3.761389737018569
YCL051W	1.7998549281295704	1.8668780336240773	1.628946152392166	1.6143197438743986	1.5297609958201808	1.3444698879882682	1.5936077918574738	1.8227117814327682	1.800933728854956
YCL052C	2.8826939482571508	3.1939859260868686	3.2560085602928286	2.3611228017884165	2.7859890834411933	1.989125188474285	2.5467319873877137	3.166095650319499	2.5563300197530907
YCL054W	1.2502684911467061	1.1100513181197826	1.2600294301319235	1.7777826428770167	1.794897488649616	2.4435493923025806	1.382158505510069	1.0645447734131879	1.4011889371807715
YCL054W-A	0.35172570487440197	0.295247978592439	0.2810066299516078	0.23135405751180582	0.34819227014911747	0.3760889185779608	0.2360496860708812	0.2688819064212029	0.2267606028019981
YCL055W	1.4152291176767235	1.3108973634494978	1.4806413004538024	1.4632159532220197	1.3586284567534708	1.4181790240910255	1.3291584298592605	1.373887950997779	1.2853111934132393
YCL056C	1.027125254309261	0.9935484855958642	1.0580618255299008	1.0345490900794179	1.0175199684327345	0.9837819509074248	0.9768091408041174	1.0412287005935252	0.9682926698586615
YCL057C-A	1.4705862680244302	1.7239640891547883	1.688398345183664	2.3215330228534823	1.4041196434249055	1.9439204936630166	1.794499993236399	1.605634556035689	2.1044994661715775
YCL057W	4.405524783141014	4.036302961834079	3.942850321874581	3.738069651083431	3.919619351946533	3.8797112718837425	4.357783861344105	4.322913157280041	3.6601835005432726
YCL058C	0.7393007845138824	0.7793018810467888	0.8319350059758738	0.8765036458839977	0.9185921147013502	0.9658362741711506	0.8035255052839377	0.718210048496937	0.7724329019330936
YCL058W-A	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
YCL059C	1.3573307212163384	1.341699874926771	1.490902710378268	1.6125525588231224	1.7471599888907012	2.269737870879191	1.3286702526473753	1.2434404156409642	1.5000799199799935
YCL061C	1.237572164952622	1.1609903965734965	1.2294028409435231	1.0973958487762088	1.2270190340271596	1.26251763504236	1.2373475300285457	1.2260827950718258	1.0768166460394113
YCL063W	0.7600788758569519	0.7391126700983338	0.7793018810467888	0.8909102745032768	0.8885123109349673	1.079348256686469	0.8587677141755604	0.7473548703201256	0.7366880815227069
YCL064C	0.5731576639557814	0.5386222562223394	0.5240515001488368	0.6899184023271838	0.5706480231546344	0.7813446558824603	0.6973818052401605	0.5937343038019891	0.5824664208958594
YCL065W	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	0.04723655768340909	0.04988706249273001
YCL066W	0.14482744348700538	0.13603884044787912	0.2222569322296936	0.20199795509091503	0.16058354857499502	0.11079553520773336	0.1396333067630242	0.21248314192294807	0.21523110138214394
YCL067C	1.4780939464507663	1.500900979224077	1.7425565578663098	1.373291239907331	1.5682416983876168	1.3874883398225903	1.3279238819109116	1.5795501471616988	1.3286702526473753
YCL068C	0.16317978875846423	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
YCL069W	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
YCL073C	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	0.05259569813829758	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
YCL076W	0.018573404878981858	0.06555120279327951	-0.017273028388786082	0.0393631945096949	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
YCR001W	0.48474309576267044	0.48274040919582434	0.49659102783575887	0.4421873822783553	0.47454343150280187	0.49898499032254484	0.47454343150280187	0.4667324585013256	0.4341484091419673
YCR002C	3.2575311996468717	3.229078376280533	3.3323312606810287	3.0741838864645348	3.161770939471084	3.1643631841672897	3.0484609464179986	3.117080792609899	3.261733052687518
YCR003W	0.9512716409235427	0.9232589137179805	0.9554768400933411	0.9213006999206416	0.8860333952511935	0.896880253932235	0.9168990756275559	0.9436685549174398	0.8316753871885318
YCR004C	2.3495893235498073	2.6358875707094205	2.674026526101552	2.7263856481849125	2.0947772640240947	2.587067901457917	2.9520215130947154	2.6221136808875363	2.3840102142096153
YCR005C	5.458075625872152	4.281327129267812	5.105440806954331	5.930064350653287	5.719306698027738	4.616070553772031	7.198128032138685	4.5478797739475185	4.815903509084704
YCR006C	0.5601014636166457	0.4752234640684301	0.4246520530728335	0.5479612307343303	0.47855923799327377	0.5441543021045406	0.5288813184652335	0.5341550385466125	0.5638553956092044
YCR007C	1.0177403570649581	1.013873904293828	1.0169543654888078	0.9299870381883784	0.9226560606644831	0.9441383209186205	1.0093514752062132	1.038205671479935	0.9814327806967014
YCR008W	1.9756411735728747	2.082836228053722	1.9075697980611455	2.319888881060028	1.9308375276575502	1.9598669716202395	2.320844821663656	1.929803620629418	1.9995788231282872
YCR009C	3.8703160763739266	4.249468953385909	4.244224039651012	3.8782831481434727	3.3786125433699237	3.3953082884464205	4.091152378277114	4.073882342470501	3.6235567109959472
YCR010C	0.708436578497933	0.7518197063446945	0.7000733406631053	1.1252655021617393	0.6927767822574752	0.7487599495941222	1.2765281362375371	0.7744499811378334	0.7099857531263232
YCR011C	3.8914082791385933	3.89663017846107	3.9882410229088983	3.8740733043045776	3.5132934548328913	3.2688150162152056	4.259337171452351	3.9077579934248936	3.711523869901664
YCR012W	10.912307204971501	10.912307204971501	10.844656263224461	10.844656263224461	10.844656263224461	10.380967930368602	11.00159888932874	11.00159888932874	10.912307204971501
YCR013C	8.71953309481113	9.319358897355142	9.051584127962045	8.455275079419549	7.169528221370911	6.6132117964292405	8.558169508699493	8.850313243209811	9.603361528118322
YCR014C	2.34871368652978	2.4975925429269137	2.6118325913614355	3.1205563188172145	2.270375079664376	2.5258911909684456	2.6924275233043367	2.3616574388782685	2.5290090082754535
YCR015C	0.9156492135934993	0.9618558634359636	1.0555614964794227	0.8686853116738152	0.9141275818607243	0.942600262617663	0.9239046053222219	0.9611980820595923	0.9532722836168845
