	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YOR044W	225.8816465	0.342543139	0.110642377	3.095948838	0.001961842	0.024611825
YER153C	76.19667419	-0.750037223	0.242373533	-3.094550847	0.001971111	0.024676162
YKR046C	460.7790327	-0.301026754	0.097312772	-3.0933941	0.001978812	0.024720626
YPL019C	950.9582907	-0.202579192	0.065560082	-3.08997773	0.002001715	0.024954435
YIL073C	675.9332348	0.248733238	0.080586631	3.086532286	0.00202506	0.025124497
YMR229C	1416.639451	-0.265390713	0.085989289	-3.08632293	0.002026486	0.025124497
YNL020C	614.578135	-0.257977641	0.083593413	-3.086100128	0.002028005	0.025124497
YNL199C	447.7994749	-0.321752119	0.104294835	-3.08502449	0.002035354	0.025163224
YJR011C	322.394671	0.269746766	0.087521417	3.08206582	0.002055694	0.025339382
YLL038C	158.6885121	-0.481749227	0.156324964	-3.081716536	0.002058107	0.025339382
ICR1	164.2818456	-0.496247603	0.161127035	-3.079853139	0.002071027	0.025341374
YDR265W	415.4359043	0.233085146	0.075666344	3.08043356	0.002066995	0.025341374
YHR021W-A	72.92200817	0.590863624	0.191844806	3.079904209	0.002070672	0.025341374
YER020W	669.8760806	-0.2211018	0.071916062	-3.074442538	0.002108963	0.02571942
YIL094C	786.339227	0.235126842	0.076483476	3.074217528	0.002110555	0.02571942
YHR208W	714.2293901	-0.336869921	0.109611789	-3.073300095	0.002117055	0.025745978
YDR383C	375.5325088	0.244686967	0.07971586	3.069489144	0.002144252	0.02602362
YBR208C	574.4154155	0.381428194	0.124356377	3.067218614	0.002160608	0.026115744
YDR264C	943.760102	0.198004503	0.064552106	3.067359296	0.002159591	0.026115744
YBL061C	348.4539962	-0.328457257	0.107122055	-3.066196383	0.002168009	0.026152153
YBR086C	1112.637596	-0.235395721	0.076842941	-3.06333566	0.002188844	0.026297018
YNL257C	760.9852369	-0.228671503	0.074634084	-3.0639018	0.002184706	0.026297018
YML102W	167.7020971	-0.567905879	0.185460222	-3.062143858	0.002197578	0.026348829
YFL016C	538.7536713	-0.243482141	0.079554073	-3.060586753	0.002209038	0.02638007
YMR237W	588.362198	-0.322919598	0.105508874	-3.060591844	0.002209	0.02638007
YLR290C	377.6555347	0.249859835	0.081695458	3.058429961	0.002225001	0.02651756
YIL011W	134.8217162	0.466315457	0.152627599	3.055249897	0.002248731	0.026693598
YJR111C	307.5398071	0.412039391	0.134844955	3.055653	0.00224571	0.026693598
YDR305C	343.6331586	0.273042929	0.089481792	3.051379749	0.002277923	0.026986365
YML051W	422.6978244	-0.260665901	0.085471432	-3.04974298	0.002290373	0.027080023
YMR141W-A	79.77410425	0.481651049	0.157980909	3.048792736	0.002297629	0.027112027
YDR398W	721.1503536	-0.248245679	0.081495873	-3.046113503	0.002318203	0.027246888
YNL021W	477.8147921	-0.43570547	0.143020342	-3.046458026	0.002315548	0.027246888
YBL082C	191.9838936	-0.379189446	0.124526757	-3.045043925	0.002326463	0.027290147
YOL018C	554.2818178	0.201193506	0.066101783	3.04369257	0.002336938	0.02730911
YOR065W	407.8421885	-0.346870234	0.113965105	-3.043653012	0.002337245	0.02730911
YOR108W	668.561794	-0.318667002	0.104730913	-3.042721506	0.002344492	0.027340172
YLR407W	345.8358386	0.3131682	0.102993895	3.040648197	0.002360695	0.027475353
YKR066C	487.9021059	-0.227125411	0.074796746	-3.036568085	0.002392881	0.027795664
YEL031W	1117.455184	-0.264837101	0.087240026	-3.03572927	0.002399547	0.027818874
YBR059C	685.7966475	-0.266925247	0.087960259	-3.034611877	0.002408454	0.027867918
YCR003W	343.5192264	0.278862943	0.091972291	3.032032151	0.002429133	0.028052723
YDR188W	694.1929079	-0.193045297	0.063723242	-3.029433091	0.002450132	0.028240493
YGL224C	516.0718916	0.228537556	0.075474956	3.027991921	0.002461847	0.028320742
YOR172W	405.5069081	-0.302882633	0.100071844	-3.02665187	0.002472786	0.028391772
YPL069C	355.5516348	0.27452676	0.090752938	3.024990349	0.002486411	0.028493309
YIL072W	254.0583511	0.321574991	0.106398927	3.022351818	0.002508188	0.028687707
YNL317W	253.6226263	-0.475487383	0.157518446	-3.018613982	0.002539339	0.02898835
YGR012W	359.4497299	-0.266746931	0.088511415	-3.013700886	0.002580821	0.029293549
YNL137C	698.8144454	0.200051479	0.066370412	3.014166583	0.002576863	0.029293549
YPL033C	31.0583651	0.792344217	0.262892349	3.013949317	0.002578709	0.029293549
YOR090C	534.2279556	-0.27089289	0.089909328	-3.012956435	0.002587161	0.029309676
YEL043W	546.9071834	-0.292783304	0.097223117	-3.011457703	0.002599966	0.029398859
YJL076W	773.2816251	-0.359799809	0.119520329	-3.010364948	0.00260934	0.029448967
YDL182W	455.8285741	0.386513417	0.12862681	3.004921126	0.002656497	0.029868051
YGL099W	471.3594156	-0.371504008	0.123615269	-3.005324593	0.002652976	0.029868051
