Gene	SRR6205709
YBL001C	1.3162135612666717
YBL002W	2.61708741874268
YBL003C	1.3625290131330239
YBL004W	2.305204023479712
YBL005W	1.9976876306745353
YBL006C	1.582506676160898
YBL006W-A	0.30757530693119306
YBL007C	2.8928216569365635
YBL008W	1.8137643349975803
YBL008W-A	0.17568688459086684
YBL009W	2.11762087052354
YBL010C	0.9780572063671527
YBL011W	4.188931708430072
YBL012C	0.5552584384304364
YBL013W	0.6639447233202856
YBL014C	1.5095248877848138
YBL015W	4.325663944018414
YBL016W	1.945365137806616
YBL017C	3.271336601637784
YBL018C	0.814030727198921
YBL019W	1.012884141369565
YBL020W	2.836399671565577
YBL021C	1.1265548903055662
YBL022C	5.469853302128613
YBL023C	2.196439666780048
YBL024W	1.1439756231383313
YBL025W	1.1244419378965993
YBL026W	1.1947516914497007
YBL027W	2.3666510791631925
YBL028C	0.9881182489726661
YBL029C-A	0.8537228620412317
YBL029W	1.8064314128599759
YBL030C	7.452319673384478
YBL031W	0.5845692984274405
YBL032W	2.2751573507132083
YBL033C	3.8797112718837425
YBL034C	1.258472281617596
YBL035C	1.1073779148074274
YBL036C	2.294674582234574
YBL037W	1.3366125143691017
YBL038W	1.677845048265224
YBL039C	0.8303491237601072
YBL039C-A	0.04988706249273001
YBL039W-B	0.5877742088289648
YBL040C	1.3262303338390464
YBL041W	2.9324992337740827
YBL042C	1.1767562229664161
YBL043W	1.8932783456611735
YBL044W	0.25313730188355216
YBL045C	5.084380745890893
YBL046W	1.516250673416854
YBL047C	6.0046331196723015
YBL048W	1.82319058787925
YBL049W	4.522096443335365
YBL050W	3.360504157521326
YBL051C	2.107967220436099
YBL052C	0.913080986068838
YBL053W	0.34275916363942877
YBL054W	1.8299362092797058
YBL055C	1.5120685873032684
YBL056W	5.746537922139947
YBL057C	1.2580182814788776
YBL058W	3.4669601219102315
YBL059C-A	1.0836459786021089
YBL059W	0.7766687956308969
YBL060W	1.4778411113303274
YBL061C	2.2205257277849424
YBL062W	0.4454682707819951
YBL063W	1.4090092684143518
YBL064C	4.4314345936299535
YBL065W	1.2465174617581214
YBL066C	3.469166910929027
YBL067C	1.6674833636320843
YBL068W	1.1184486641217877
YBL068W-A	0.7852193854761859
YBL069W	1.3921822852039643
YBL070C	0.2842772001947699
YBL071C	0.8685214201064407
YBL071C-B	0.1840877718907294
YBL071W-A	1.3580534440040999
YBL072C	2.3611228017884165
YBL073W	0.04988706249273001
YBL074C	0.9058465046974675
YBL075C	1.5857392543765376
YBL076C	4.761522713558635
YBL077W	0.47130795351814453
YBL078C	3.075698055216135
YBL079W	2.036863350353649
YBL080C	1.026978728009734
YBL081W	1.211874525936522
YBL082C	1.7894107119860787
YBL083C	1.2310082587749187
YBL084C	1.7351734574415627
YBL085W	1.5609402698438317
YBL086C	1.424049005486249
YBL087C	2.1991034579489344
YBL088C	1.4210121616031053
YBL089W	1.324398405726623
YBL090W	1.3394191986860293
YBL091C	2.922357551865955
YBL091C-A	1.323057979489429
YBL092W	2.417312664283963
YBL093C	2.344562183944351
YBL094C	0.7002456720584311
YBL095W	1.5540584040074243
YBL096C	0.6408197130769728
YBL097W	1.3613445303332357
YBL098W	1.3957401453204685
YBL099W	6.822758654857034
YBL100C	0.6759014424347112
YBL100W-C	0.7221752857182678
YBL101C	4.242288537718299
YBL102W	1.2613391383842671
YBL103C	1.394718868332098
YBL104C	1.5451718340109324
YBL105C	3.0707393582720766
YBL106C	3.654455590707135
YBL107C	1.340122562522829
YBL107W-A	0.9630201701417429
YBL108C-A	1.7379309142590058
YBL108W	0.1706297211112302
