	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22
YDR334W	126.3287253	148.0567586	119.9485	135.8747061	151.4230633	115.3668904	138.6197755	115.1988027	85.64134563	125.2849454	134.0713684	87.38564155
YDR335W	155.9917534	142.7120442	145.2055188	160.2408397	141.1086689	141.2000234	150.8544105	130.1787977	119.8136255	137.6767663	147.7357778	112.2716403
YDR336W	195.2967621	210.8501497	175.6796219	211.0429546	220.8838069	202.7894772	205.1680876	188.0588196	230.2441027	220.6517805	187.434169	219.0870176
YDR337W	299.1972975	272.7505282	298.6123723	314.0746087	267.1320197	302.9784685	294.2730702	274.0726076	351.9876941	329.3558907	273.5213651	360.820826
YDR338C	147.4086635	118.7410806	131.3191507	154.4757103	117.3459572	134.6205946	150.74744	108.9208607	124.8757541	125.8213892	125.6543164	119.1068769
YDR339C	295.3996659	342.6615392	295.0576142	307.8742176	334.1837031	298.6923571	306.7966594	344.5398846	369.1554949	353.4489109	307.3583423	392.7495373
YDR341C	278.8601884	313.8601884	279.1019572	276.4183551	312.4763522	286.0950232	267.8954821	317.420146	264.6156181	265.385972	329.0109271	247.770168
YDR342C	38.40277341	44.13799364	39.50177828	37.06549615	33.39438117	38.94973156	38.31472049	36.25045081	50.332271	49.75265286	34.44204135	64.00179076
YDR343C	36.84168506	26.97321833	36.70243966	36.15404953	22.15588751	37.08014445	36.47561391	14.98816716	46.82071721	50.56383741	13.64041241	56.24399794
YDR345C	136.7970898	384.6933883	144.1154606	124.3689028	363.9996992	150.5425127	126.0266139	409.2427582	151.9970402	121.3918092	385.6498853	136.1015927
YDR346C	234.6869356	281.7519506	231.5706021	240.0756135	274.4466351	246.7835435	246.8793785	278.5572087	262.1727529	264.0549983	282.909787	252.8195501
YDR347W	246.2284316	188.5772466	265.9347045	250.1391453	210.1400454	268.2931569	238.4978025	193.422469	227.103147	221.3998289	209.2863726	238.8372417
YDR348C	217.9143157	182.0946579	230.9776979	219.5243441	191.6376667	226.5671079	198.5750877	191.8299991	156.0705101	192.9122007	203.8312947	157.5724295
YDR349C	206.2447358	179.0937437	229.732767	195.6902661	207.3799456	207.7261722	193.4449741	202.7556735	148.1498954	170.8820206	211.3703052	145.9940248
YDR350C	200.4697032	168.8965093	177.4411	210.207917	174.4346683	178.0032108	205.1594	155.4433026	203.1516033	190.2410221	191.8859284	179.1200696
YDR351W	168.7601903	143.6814713	163.0822804	162.9879034	145.8731527	162.6547106	157.3420921	150.078562	136.8343369	146.3105633	163.6016549	138.4281156
YDR352W	198.9498954	175.9419474	211.8391068	206.9203468	200.4678397	198.5549382	191.7594058	194.6826534	216.413605	175.438818	212.0185383	211.3947428
YDR353W	338.9520537	387.5230623	341.4888515	340.189471	356.915487	339.5540843	332.3460343	390.2931716	370.3682753	355.871703	375.3261019	358.4141975
YDR354W	145.4572454	147.175409	146.9256909	147.0626037	163.346397	141.93353	149.1661732	138.4155653	86.07740567	136.1487245	149.1354341	96.4802018
YDR356W	128.7739992	90.84976765	113.5435724	124.8119472	95.34795626	111.8805766	112.0606132	102.7429812	86.09673154	95.90786733	103.489796	78.01991758
