Gene	SRR935051	SRR935052	SRR935053	SRR935054	SRR935055	SRR935056	SRR935057	SRR935058	SRR935059	SRR935060
YHR058C	0.6847331257292735	0.9855151007667677	0.9913098686142686	1.0919721622893062	0.7363840960855123	0.5995759265040432	0.8081941304396619	0.5280196351419916	1.3757142352485423	0.479205044214121
YHR059W	0.9378885218059236	0.7058784821240871	1.3551357583147587	0.8327683486128787	1.0677653408088337	1.2640496601868476	1.0289670333660514	1.501621544474332	0.49898499032254484	1.3842354329280906
YHR060W	0.9322234826817586	0.9535069825310538	1.205683372802935	1.1407338294394513	0.7816791308210321	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR061C	1.2411295327381593	0.8074672866759629	2.652832508592417	1.529013740967798	1.7126121832288004	2.073523435376795	1.2048874779216883	1.48919310983077	1.43189434175721	3.0418755318758293
YHR062C	1.0509919723455052	1.0604980879447903	1.3237002748696645	1.3054672365768512	0.8786531153238124	0.5995759265040432	1.3054672365768512	1.2270190340271596	0.9636167520889617	1.1648391710238224
YHR063C	2.492935841305869	1.7720893694364581	2.588150717778804	3.229078376280533	3.7498196134981345	2.931827635859211	5.151553351268149	2.984623930565696	9.094002106928592	7.9710783806098835
YHR063W-A	0.3586259894623447	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.9556970596810676	1.1766285236560434	1.262818333557807
YHR064C	2.328431068005976	2.072190379180247	5.434941324580414	5.6414862246158135	8.307477791845907	7.7327225049248325	8.911328416205382	8.768000765249877	7.1931550356475356	6.011429737802256
YHR065C	0.8001223242196024	0.9991083593317969	2.3402893336254875	1.682168858179187	2.380150036722172	1.707952429643529	2.4521264450496765	3.534591271551803	1.25659360507185	2.6713800948005644
YHR066W	1.2591635697989982	0.720512898564522	1.0496273878921056	1.642397921205263	1.0961785302027736	1.456563948743707	1.788309376270104	1.6873438021216307	1.8084038444615746	1.173508971576535
YHR067W	3.917849106492046	3.5376754592141277	1.5461966599602555	1.6996353658386003	3.4131097192915476	2.6214821371803785	2.787002279476151	1.8310080596321159	3.9472911763865235	4.472001333836484
YHR068W	1.102230989897887	1.255463134307304	2.3749171814102237	3.1558740557920615	1.313506629322353	1.2820676740114256	1.1277848395602084	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR069C	1.1334689850654602	0.7289944260234733	1.1811266891213583	1.7347940284086718	1.4669568166348803	1.3324852230640767	1.4851880044694528	0.9105388252073572	1.4186520388248665	1.2830014324171186
YHR069C-A	0.776303957520152	0.2978374008712847	0.8430688137475396	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR070C-A	0.3586259894623447	0.6525846337289598	0.4480760358065964	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR070W	0.7835417076682942	0.7241875879902331	1.6654495566360337	0.9700684658945986	1.525549913554145	0.5995759265040432	1.3754521018687647	0.5280196351419916	0.49898499032254484	1.3929997223102353
YHR071C-A	1.682764651509517	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.6947610091722789	0.5995759265040432	0.7149695195032305	0.8401416707405627	1.3795692030042097	0.479205044214121
YHR071W	6.073954455418308	5.688230461446563	2.0187437520904106	1.7628229140973475	5.688230461446563	5.246054255182271	3.4360358717210846	2.9430904350924294	8.753257547097324	8.956104025611879
YHR072W	2.283032536409964	1.641970599449852	2.036863350353649	1.9843936777810463	1.4330460486156325	1.9381653350148391	1.508730050146932	1.1750484144007816	2.674026526101552	2.7173612131299247
YHR072W-A	0.9788131991478303	1.5607989548172347	1.4861064444449388	1.014852780319369	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.859400819449836
YHR073C-B	0.3586259894623447	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR073W	2.8272954081085837	3.5088985349832336	3.5132934548328913	2.8708909729043635	2.343181176737525	3.5132934548328913	2.2349911102822513	1.7190112690213155	1.7894107119860787	2.6815188831972714
YHR073W-A	0.3586259894623447	1.3982116664248392	0.4480760358065964	0.9058465046974675	0.39333242006532065	0.5995759265040432	0.7156234166724875	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR074W	1.9774503377124475	2.3797236472893077	2.492935841305869	1.9283941595456158	2.8826939482571508	1.552791544632533	2.686570025938644	1.7154852285073852	4.050803246753242	3.108644470709719
YHR075C	1.8714322513308377	0.9549691177362007	1.3063053397039968	1.3514342363286047	1.4019910966277505	1.2078478808403994	1.1924549393043786	0.9830928534222654	1.4449375585938742	2.112971256024786
YHR076W	1.2500233475859863	1.2758959235571279	0.7625236240302671	0.8644160334495751	0.7711101213283064	0.5995759265040432	1.1209427665228457	0.5280196351419916	1.3580534440040999	1.3276576782285763
YHR077C	2.7423287943743855	2.0124201253632834	1.8270296097691594	1.8637476049147788	2.2918644482081616	2.4679363840885795	2.404175983711334	2.103911418952226	1.5966652004100594	1.2998166893900138
YHR078W	2.0173867734600286	2.3215330228534823	1.9226242594492495	2.1133040755762065	2.766011048413927	3.2872898484339066	2.673573459219286	3.0059475497103527	3.70986276823932	3.3715707598044173
YHR079C	2.9450041209862086	2.196439666780048	1.6125525588231224	1.6328774071812966	1.3148486997734488	0.5995759265040432	1.1732901681432166	1.0473255882158952	1.1932719698755994	1.0643038285062005
YHR079C-A	0.3586259894623447	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.7053752326280365	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR080C	2.5343547974483953	2.6980361742265098	1.0197947116856545	1.4372938685202985	0.9724310915193812	1.6590304735489436	1.8903053336755336	2.663878680608063	1.9834816823815609	2.496173728336613
YHR081W	1.0916135969865763	1.6181759242051386	1.2527186245465443	0.9274334436980227	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
