Gene	SRR4453398	SRR4453399	SRR4453400	SRR4453401	SRR4453402	SRR4453403
YDR463W	2.1220310761730024	2.2080640827250657	1.9167715490965702	2.133251089851536	1.9930954001587584	1.8084038444615746
YDR464C-A	0.1387442421760785	0.16722359859766345	0.14136857258893532	0.15064317975039856	0.17568688459086684	0.1982366169566866
YDR464W	3.0050902915888464	3.161770939471084	3.0172071134011933	2.9058021551826476	2.587067901457917	2.652832508592417
YDR465C	2.0224144455109148	2.002019307794638	1.8315837990081727	1.4596887570581965	1.5901457059022328	1.1866425932800497
YDR466W	2.1432452349080098	1.9024727055840405	2.0772376879191614	2.295159919141179	2.244164206259806	2.0947772640240947
YDR467C	0.6421947082582729	0.6371105235345098	0.575416991940722	0.58391998782257	0.17568688459086684	0.6523946361960001
YDR468C	1.2712799362965919	0.9579061420340189	0.9013559342382143	1.3324852230640767	1.2648243467325255	1.0783707760563
YDR469W	1.115666018097218	0.982826323329024	1.129073223532977	0.9839977611555729	1.0394179450003074	0.9266650172928423
YDR470C	1.2477748883913908	1.1695440796691359	1.2483079694594428	1.5127951022760495	1.4005840534373648	1.5638232924714621
YDR471W	3.915000287762613	4.353189861298398	4.416445844649774	3.64988840644582	3.253377932457782	2.9646889591965384
YDR472W	1.493437510661418	1.5183164980346782	1.4724543612218643	1.5924579144822761	1.438460091849619	1.3241841544778687
YDR473C	1.0107564534935967	1.1017858640462195	1.0393168630139318	0.9328013256076677	1.060792271739104	0.9730493947980918
YDR475C	1.8854142929286728	1.672519477853495	2.054097113609882	2.3611228017884165	2.257106656764998	2.480208119311718
YDR476C	2.0612184609857387	2.344562183944351	2.888297092296779	2.395326007040669	1.823898833565643	2.381740919975682
YDR477W	2.294674582234574	2.2165167044196474	2.3019917359831448	2.047583717956731	2.1418099831454427	1.9976876306745353
YDR478W	0.93311585920472	0.9821685895712582	0.9172485395278134	0.9334135398292793	0.9310395638132021	0.9656027772078855
YDR479C	1.3004079809855482	1.2767524280226594	1.3186134035489845	1.6003847885463172	1.4195239762986578	1.6632534167783088
YDR480W	1.0540799445245768	1.0183487970811413	0.9176777379477414	0.9141275818607243	1.0238876200659488	0.8101424438522529
YDR481C	3.507226244285866	3.469166910929027	3.8683851451790807	3.3507209539313467	3.1119382929844677	3.6595384076441637
YDR482C	1.045930600172146	1.3262303338390464	1.588186734159945	1.1784964279476398	0.9845733112028527	1.090563015008374
YDR483W	4.1544991998433485	4.263424692492427	3.9732534480810746	3.89663017846107	4.220325522149896	4.036302961834079
YDR484W	1.1009587257684257	1.0116284524620207	1.082469618559662	1.1163392851501983	1.3929997223102353	1.0561980101348227
YDR485C	1.6416775829896846	1.5801638835742873	1.4889170515385628	1.6307211385257054	1.7621381746901124	1.6373201425174837
YDR486C	1.313816756651169	1.4295702270361488	1.148306710033608	1.1956765685656494	1.3024132409882963	1.1173683569137853
YDR487C	2.2503989541749037	2.9740413879399963	2.442707975252879	2.547630210127018	2.3071692128037617	2.345933785178845
YDR488C	1.7099024345984202	1.9991368991033522	2.3616574388782685	1.2033234508590933	1.075008257028819	1.454733187621604
YDR489W	1.0113887150545837	1.0948871690288964	1.147999840864716	1.003553901204516	1.001690533988641	1.0707193970409632
YDR490C	1.7579964491070088	1.9613721653599403	2.28919909597964	1.894266030094218	1.805531779280642	1.9619779592463042
YDR491C	0.39893599805116403	0.16722359859766345	0.43478578545936736	0.15064317975039856	0.17568688459086684	0.1982366169566866
YDR492W	1.9565840585072023	1.8044847439848257	1.7927140589133224	1.6121131168194096	1.9823963902062802	1.6844265846685735
YDR493W	0.8169977272231296	0.9268843105141407	0.934086191028427	0.9894833482330918	0.848790046358479	0.9416335392573751
YDR494W	1.1927554597312895	1.001690533988641	0.8912353540904218	0.9874141180459743	1.2332902771146435	1.0804825165446275
YDR495C	1.2061886802145718	1.1241188187581006	1.1144224690010438	1.4220022418626932	1.5000799199799935	1.3454943073706578
YDR496C	3.303047795723412	3.0178276457165127	2.3840102142096153	2.0095303664941184	2.4473203624914657	1.7761611641592552
YDR497C	5.406356506049445	5.719306698027738	6.41573750131383	6.741414169621715	6.357938288444218	6.975077408278061
YDR498C	1.4268929063066733	1.2739685314162494	1.3493150358667165	1.223161468199497	1.409720059154568	1.2742776357599215
YDR499W	1.5243499767784334	1.5763462508257011	1.5835072582584249	1.3530052040600309	1.5461966599602555	1.564817002668123
YDR500C	4.2051015407296415	4.184641138425221	3.9472911763865235	3.8683851451790807	3.887797026795785	3.4724254644837593
YDR501W	0.8918577550080478	0.913080986068838	0.9299870381883784	1.1768865383578424	1.3113293182729224	1.0984668463794307
YDR502C	3.717699229371058	3.942850321874581	2.850565843610098	3.704554343669588	3.9732534480810746	3.297356230902426
YDR503C	1.1015373725244124	1.2546437886463495	1.1451846328294015	1.1761658213821735	0.9392624711748039	1.097176718175807
YDR504C	0.7011906235199086	0.708436578497933	0.7580338051936238	0.8155142066280747	0.7842169212265224	0.794357545989913
YDR505C	2.194556624628719	2.307940031772718	2.5077083713576807	3.3190596182673806	3.229078376280533	3.4456635392168127
