Gene	SRR5130645	SRR5130646	SRR5130647	SRR5130648	SRR5130649	SRR5130650	SRR5130651	SRR5130652	SRR5130653	SRR5130654	SRR5130655	SRR5130656	SRR5130657	SRR5130658	SRR5130659	SRR5130660
YGR227W	2.2531659301002813	2.3062958056677294	2.2455545352241177	2.194556624628719	2.2006846691496027	2.319888881060028	2.095983716262536	1.9517754335884272	2.1355697968068825	2.1341307785371875	1.9072062666830354	1.75157879016528	2.284812505529804	2.3448853637769105	2.221812778578871	2.314148629464103
YGR228W	0.44847479500976695	0.15970639612429635	0.13518834136242275	0.1315714109498392	0.1502008388231782	0.15883724427605972	0.18586035592533104	0.5152399122219018	0.12320022029629073	0.13790294707669554	0.13204734766811826	0.33850493725407177	0.11204621558970992	0.3760889185779608	0.376478108894752	0.11037020802816774
YGR229C	1.798316216405507	1.862437635037278	1.8060499168162474	1.7608233986546276	1.919417113499788	1.8346848556000528	1.8540752626075272	1.9131079185615192	1.4248178774706128	1.590813744916613	1.679451335329054	1.5609402698438317	1.5328039372666358	1.5120685873032684	1.4988977276947475	1.5313347836832316
YGR230W	0.7063037374207151	0.7592908429845212	0.723731725741241	0.7266250035208726	0.8153761038549789	0.7162666741660011	0.7655219986765288	0.852915601607067	0.6302573071871842	0.7398670240422394	0.6723049272677865	0.6947610091722789	0.6816973740221604	0.6747871555625976	0.6340445096882371	0.6947610091722789
YGR231C	1.5531628087380553	1.7777826428770167	1.7099024345984202	1.7190112690213155	1.7301722643922486	1.82319058787925	1.7741012237337048	1.8064314128599759	1.8140548349445929	1.6145224675147185	1.6214477335726754	1.6889484225794362	1.6267291619960988	1.63131612205309	1.5502167555492732	1.5848448713352263
YGR232W	1.4367794960346794	1.5151191164041753	1.5785978646517456	1.6657402654275473	1.3647817484524607	1.4469538694385147	1.2563396650688226	1.355656294821308	1.36226880138261	1.3349899647203936	1.341699874926771	1.379922466206536	1.262269595943913	1.2598139099277124	1.3159452170147028	1.236581280824461
YGR233C	2.257106656764998	2.2914709386694647	2.2349911102822513	2.084998280115087	2.4192254198375087	2.3071692128037617	2.3666510791631925	2.3616574388782685	2.148894893339663	2.1923731709994696	2.1553411505047646	2.0582889993931075	1.8954945042775855	2.1107076493990338	1.953106770249105	2.021123991343101
YGR234W	5.608168300747229	5.688230461446563	5.732118441591849	5.809809709096388	6.998942911766678	6.930892276498298	6.778931587152802	6.621104219430337	5.6964330712942255	5.683399443969515	5.70507603795002	5.70507603795002	4.718327975383966	4.761522713558635	4.4314345936299535	4.320616846459631
YGR235C	1.7067896939272929	1.6862443192545191	1.651415932515314	1.7067896939272929	1.8126102420962065	1.837403779843751	1.8456977135857133	1.7667022290392969	1.6168179568410703	1.5038867652488757	1.6572391639895652	1.6839479329782143	1.508040933567879	1.5282836851999213	1.6511505225310124	1.5671394609221796
YGR236C	0.4466492596340288	0.15970639612429635	0.13518834136242275	0.1315714109498392	0.1502008388231782	0.15883724427605972	0.18586035592533104	0.1849719561948744	0.12320022029629073	0.13790294707669554	0.13204734766811826	0.38374562263703127	0.5288813184652335	0.12106887432450303	0.11286483774357095	0.5349147802757367
