Gene	SRR333731	SRR333732	SRR527798
YAL029C	2.283032536409964	1.9791999533801663	1.7425565578663098
YAL030W	1.8096230721319877	1.7986837875939365	2.0515173155608935
YAL031C	1.6835046411755354	1.651415932515314	1.4978743166394795
YAL031W-A	0.6731399533981315	0.7213131806368798	0.7310553430017928
YAL032C	1.4810343596054225	1.3647817484524607	1.3324852230640767
YAL033W	0.862990674074742	0.7780567991991438	0.9927062818899346
YAL034C	4.159522727530136	4.01273977200594	3.3829717723194284
YAL034C-B	0.3042977321525522	0.3882463179184704	0.3671075596798518
YAL034W-A	1.0206022002370172	0.9232589137179805	1.0127812853789737
YAL035W	4.407476367276523	4.4543684861964135	3.8278867480540346
YAL036C	1.7702169389404543	1.6785926594530638	1.4454021888987838
YAL037C-A	0.32283020527061446	0.35712000437583225	0.4011487470292875
YAL037C-B	8.290547952733746	6.563745911731264	6.993166635916397
YAL037W	0.7518197063446945	0.732285481544336	0.8410643315307594
YAL038W	10.280278690157264	9.101443759654353	9.172262829644419
YAL039C	1.947197131281161	2.442707975252879	1.883200231140917
YAL040C	3.3507209539313467	5.8812847249855835	6.011429737802256
YAL041W	2.06746050456616	1.8974446631289204	1.9184237744573978
YAL042C-A	1.0752563764873915	0.8202338887991591	0.8513296959887352
YAL042W	3.1558740557920615	2.5951525094155894	2.7585193478316645
YAL043C	2.8472904485065085	2.9430904350924294	2.7131621188167343
YAL044C	3.6406285928384454	3.339568428474442	4.799761425749858
YAL044W-A	1.545881174717825	1.3046986430992615	1.4449375585938742
YAL045C	1.7510898630719753	1.2120913438609757	1.566917054372126
YAL046C	1.1341751650139495	1.1909111334814293	1.1844796356705618
YAL047C	1.1727605352718977	0.9046620305559447	0.8708525845185034
YAL047W-A	0.060793829540498126	0.09407668303879667	0.07225061366584558
YAL048C	1.6276082755564516	1.691279418889615	1.7070084410825748
YAL049C	3.0767255307004113	3.938209859249115	3.884587446503864
YAL051W	1.8643132594125924	2.054997283566614	1.727025727967995
YAL053W	4.511021807800644	4.964737367963922	5.464189704562201
YAL054C	10.464779104646581	10.380967930368602	9.125946274349847
YAL055W	1.3272981779973383	1.085924239344241	1.0133313568201237
YAL056C-A	0.7753720462014426	0.7548397893831248	0.7092327069975901
YAL056W	2.72812706698633	3.0126579769421644	2.877092207426866
YAL058W	1.5120685873032684	1.5030890614784405	1.262818333557807
YAL059C-A	0.6996539401835988	0.9290768754781793	0.8446552580624819
YAL059W	0.7640187107291017	0.8871891531149626	0.8773585071787429
YAL060W	3.5276099935724625	4.900242658971436	4.140994159752146
YAL061W	6.8146302161237005	3.6565827010673946	3.6406285928384454
YAL062W	8.286857413476742	6.682125554853802	4.24632166933575
YAL063C	1.6639585492869733	0.8699824610482473	0.9761061311399981
YAL063C-A	0.060793829540498126	0.09407668303879667	0.23048617174591496
YAL064C-A	0.6619536542580173	0.3674912453329242	0.23048617174591496
YAL064W	0.2842772001947699	0.09407668303879667	0.07225061366584558
YAL064W-B	0.7578489448693062	0.5675406656767246	0.5054916756836888
YAL065C	0.7000733406631053	0.6110788483184973	0.7040317467159792
YAL066W	0.060793829540498126	0.09407668303879667	0.07225061366584558
YAL067C	0.861848670251153	1.433890955070962	0.9441383209186205
YAL067W-A	0.060793829540498126	0.09407668303879667	0.07225061366584558
YAL068C	0.060793829540498126	0.4207232445974798	0.2818358008849934
YAL068W-A	0.060793829540498126	0.09407668303879667	0.33504114115973677
YAL069W	0.5685180611458917	1.0420401458849309	0.5922278607889908
YAR002C-A	3.2375765963763996	2.9646889591965384	3.814975259068276
YAR002W	1.5712761694264565	1.5861351947685094	1.5843981020246845
YAR003W	1.041774813965397	1.1103122698930903	1.066400509237513
YAR007C	2.683849243699992	2.822342545434691	2.5103763722396844
YAR008W	0.9539984879750607	0.9965071680574129	1.0951679460904327
YAR014C	2.2231737689260465	2.1816882926732486	1.8693053629216727
YAR015W	3.32720473712029	3.2688150162152056	4.019141763404134
YAR018C	0.8750300310984873	1.042312138036281	0.9874141180459743
YAR019C	1.92192402629937	2.0187437520904106	1.9335120568810134
YAR019W-A	0.4448137974184464	0.3289218734151451	0.4546950173921709
YAR020C	0.5210266821581468	0.7066668631962603	0.5186829922073402
YAR023C	0.6723049272677865	1.2551179572182987	0.7673485449037742
YAR027W	2.33322763555672	1.9719388738045716	1.545881174717825
YAR028W	1.0156253120119332	0.8986172710009974	0.9474689797920726
YAR029W	0.4386636308947014	1.1178347732484415	0.9028068243237937
YAR030C	0.314488435443962	0.9722034559835395	0.9839977611555729
YAR031W	0.9443910617240242	1.24897960000213	0.8993934380016684
YAR033W	1.1470064381198426	1.2338098967694795	1.1744267380368787
YAR035C-A	0.6253522506408851	0.40388447227285634	0.6602654185201088
YAR035W	8.020791325790096	6.060283028770828	8.056476510665892
YAR042W	4.924543313757944	4.96835028938277	3.071909838092634
YAR047C	0.3922958438433781	0.09407668303879667	0.07225061366584558
YAR050W	1.7777826428770167	1.2045443510834029	1.2039584960010583
YAR053W	0.5077174259140294	0.09407668303879667	0.4011487470292875
YAR060C	0.575416991940722	0.09407668303879667	0.07225061366584558
YAR064W	0.42162083869342565	0.09407668303879667	0.20422840376381016
YAR066W	0.6231345164258137	0.6532209107160718	0.07225061366584558
YAR068W	0.355504817933152	2.7161613002677707	3.123353560859032
YAR069C	0.33044580365872017	0.09407668303879667	0.22501258882398179
YAR070C	0.060793829540498126	0.09407668303879667	0.07225061366584558
YAR071W	1.0981467611512512	1.237572164952622	1.5200725027731843
YAR073W	0.3493524440840029	0.09407668303879667	0.47667280714279003
YAR075W	0.060793829540498126	0.09407668303879667	0.07225061366584558
YBL001C	3.266910781249353	3.0091223909464593	2.8928216569365635
YBL002W	2.533633787203379	2.8867415586917833	5.501020347462963
YBL003C	1.458920742385653	1.5583747790357037	2.007603000657466
YBL004W	2.2321852922635834	3.0649354641836752	3.3237117231224746
YBL005W	1.5387390421074034	1.5502167555492732	1.6676576850067732
YBL006C	1.233063497359142	1.1504429614431084	1.290577258678008
YBL006W-A	0.720512898564522	0.7370718137938708	0.7273984428156862
YBL007C	5.47704237147056	5.211973955853135	4.47521315809601
YBL008W	1.1833286864477606	1.2291594770689556	1.1817095527971675
