	WT at 0hr minR+Leu 1	WT at 0hr minR+Leu 2	WT at 0hr minR+Leu 3	WT at 0hr minR+Leu 4	WT at 0hr minR+Leu 5	WT at 0hr minR+Leu 6	mct1KO at 0hr minR+Leu 1	mct1KO at 0hr minR+Leu 2	mct1KO at 0hr minR+Leu 3	mct1KO at 0hr minR+Leu 4	mct1KO at 0hr minR+Leu 5	mct1KO at 0hr minR+Leu 6	WT at 15min minR+Leu 1	WT at 15min minR+Leu 2	WT at 15min minR+Leu 3	WT at 15min minR+Leu 4	WT at 15min minR+Leu 5	WT at 15min minR+Leu 6	mct1KO at 15min minR+Leu 1	mct1KO at 15min minR+Leu 2	mct1KO at 15min minR+Leu 3	mct1KO at 15min minR+Leu 4	mct1KO at 15min minR+Leu 5	mct1KO at 15min minR+Leu 6	WT at 30min minR+Leu 1	WT at 30min minR+Leu 2	WT at 30min minR+Leu 3	WT at 30min minR+Leu 4	WT at 30min minR+Leu 5	WT at 30min minR+Leu 6	mct1KO at 30min minR+Leu 1	mct1KO at 30min minR+Leu 2	mct1KO at 30min minR+Leu 3	mct1KO at 30min minR+Leu 4	mct1KO at 30min minR+Leu 5	mct1KO at 30min minR+Leu 6	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	WT at 1hr minR+Leu 6	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 6	WT at 3hr minR+Leu 1	WT at 3hr minR+Leu 2	WT at 3hr minR+Leu 3	WT at 3hr minR+Leu 4	WT at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 1	mct1KO at 3hr minR+Leu 2	mct1KO at 3hr minR+Leu 3	mct1KO at 3hr minR+Leu 4	mct1KO at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 6
 Azelaic acid 	163890	56804	148945	154063	67923	148999	62913	83509	49641	67311	62627	34087	96682	182702	82903	82350	115849	66346	67175	99413	73536	97966	61640	68795	257385	166783	243549	289826	196927	135555	134884	115225	106041	228315	83501	112414	129699	164643	102861	147093	90672	168797	54862	104541	66174	68234	62842	181153	107631	228156	143276	135338	137935	119770	52523	153838	105511	97198	133814
 Benzoic acid 	736259	573333	1899091	883412	474497	1062397	370769	545756	552188	498539	351940	386009	912996	636104	434089	711337	1055401	914463	777217	1140001	702751	882037	841428	559053	842702	548599	1135061	1295199	1234577	1232547	780985	900356	527984	1384955	515490	559097	1046343	777372	587577	851388	683872	927667	393471	1002683	502101	581437	482164	1070409	801723	2544425	612686	1005495	1213718	2147214	621704	790897	885917	592043	833708
 Beta-Alanine 	6233	7138	9142	8924	6463	6632	4524	1669	5104	5873	7751	7118	7853	6045	11178	7359	9256	4798	3462	6044	7665	5862	7219	5450	12412	7558	7006	12604	5998	5544	5914	4085	4306	4733	5673	6187	6447	4544	8252	9680	2899	9702	3527	7338	4869	3608	3575	6955	12149	7287	11316	10690	9211	6724	13400	9869	12882	8801	9572
 Beta-Glycerophosphoric acid 	196	180	317	135	82	0	288	0	157	69	217	149	222	114	184	0	280	0	151	211	260	301	321	181	0	0	0	0	0	0	524	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	459	0	1541	0	273	403	767	0	0	240	67	216
 Beta-Hydroxyisovaleric acid	6279	15759	50066	15118	11606	10574	8228	6633	8487	5358	7288	10548	18606	7940	2183	19980	20669	13976	15995	11523	5568	9927	15975	13029	10291	11273	5771	17772	11195	13615	12225	12175	4201	21793	6637	7281	14146	23071	14632	25922	11696	34060	4994	13263	0	9693	6632	9265	5616	35971	4574	13586	10031	23711	9881	7784	10477	6292	13469
 Capric acid 	85700	415329	299963	280890	97007	183599	48485	75781	131358	231495	155041	52763	91143	74084	131125	131514	147285	86630	100919	174634	90740	113636	122496	78011	151909	78551	181123	218405	207410	326500	195589	187195	95303	257621	85890	92977	111741	118479	86548	153856	95469	136426	84744	190543	138692	108320	122929	311563	116362	396324	113244	196528	234437	330161	145237	147144	158094	119967	138034
 Cellobiose	216411	466435	78613	46129	240479	191301	74354	53388	14200	17585	74448	42905	30477	41617	0	0	0	0	0	0	21995	20868	4921	32747	57454	0	16168	32863	6153	7152	17960	36253	22261	37432	39839	41183	23751	76934	0	76015	0	98510	28728	51378	24848	7589	21623	28073	53705	0	0	0	0	28434	0	0	970	19897	80242
 cis-Aconitic acid	301	0	0	628	734	261	0	77	267	641	531	106	0	283	0	339	1280	0	0	0	1569	599	0	0	0	756	0	0	0	0	0	280	0	777	210	0	186	0	0	0	613	98	413	0	0	541	0	0	0	0	0	888	1277	0	0	134	0	401	0
 Citric acid 	132533	144586	114734	162055	161181	152453	166175	114624	140915	108674	295461	159324	52766	84123	21988	15680	51934	51159	12916	11747	16122	13270	12734	15544	118443	161900	93635	123770	68070	46463	10934	14816	12870	12442	19070	20690	88895	166991	208743	178222	51307	149877	8432	15461	13135	12345	7645	10152	161974	80875	289249	230431	213267	7500	22285	39084	28042	24413	40303
 Cystathionine 	84377	142100	63992	55664	75171	78049	27325	10312	108345	56021	66570	324033	34543	3688	8378	17997	34151	22782	9551	33888	12829	30103	25057	16101	63600	50200	45111	91036	31016	63456	7299	19063	22170	20896	20964	16737	114907	15061	145754	129652	31497	137315	2040	6065	22160	5846	40624	68491	48027	137541	2050	21402	18252	126747	17141	8891	16434	7222	12840
