Gene	SRR2517449	SRR2517450	SRR2517451	SRR2517452	SRR2517453	SRR2517454	SRR2517455	SRR2517456	SRR2517457	SRR2517458	SRR2517459	SRR2517460	SRR2517461	SRR2517462	SRR2517463
YDR493W	0.8401416707405627	0.9102550743406389	0.8833355724010503	0.8865882059721394	0.8575383665791803	0.896880253932235	0.8803123530628553	0.8665607935252733	0.8737762219989929	0.8457057700773368	0.8793194081891753	0.8975172983496084	0.8717697871140392	0.8587677141755604	0.852915601607067
YDR494W	1.7234132347738287	1.6788564079670278	1.6941902606745451	1.6346268051965578	1.6511505225310124	1.794897488649616	1.686867265862	1.6791619529560347	1.6572391639895652	1.7821200339088752	1.704762294378599	1.7065358020084878	1.565608695864933	1.5813354651094937	1.679451335329054
YDR495C	1.6260871805379453	1.4790898830464438	1.6000408785773044	1.5282836851999213	1.5451718340109324	1.6608545380922002	1.5135478951082615	1.450826731941856	1.589611933849501	1.5318744416393058	1.7060553710373547	1.4617610876026061	1.5717885220996421	1.5893080463976754	1.475051558470214
YDR496C	2.6349816439683265	4.028292218176172	3.1568637378218414	3.3793454544069004	3.7070775890072465	2.5009807010328653	3.852164257036058	3.30921959674908	3.5717854819093073	3.711523869901664	2.6245382980874066	4.230520175704577	3.5418982207119694	3.4239551556087937	3.9267861535639867
YDR497C	4.481135034766768	4.156634209021049	4.829396729634247	4.027398722258828	4.032566056248245	4.324548298506275	3.9802489112650754	4.511021807800644	4.0384887464019	3.884587446503864	4.444065371899854	4.035065367578067	4.600894287024632	4.024619149291772	4.0453489005827254
YDR498C	1.1858938940895598	1.238019582997833	1.3309889362146703	1.2310082587749187	1.2434404156409642	1.2663602678477779	1.339208334197422	1.360165323324709	1.2000564116657195	1.2338098967694795	1.2542728659255407	1.3284336259639096	1.261884325789623	1.238019582997833	1.2651373876563992
YDR499W	1.1801065948288652	1.3354648737185648	1.348744307195407	1.2483079694594428	1.2817887660317409	1.205954569630584	1.2498303265606343	1.3573307212163384	1.353662263367985	1.280668546594957	1.278015043196153	1.2923223034287472	1.4149951236365717	1.3215536840911875	1.2874361532876812
YDR500C	5.317442405254187	5.496421863839884	5.246054255182271	5.70507603795002	5.862869883434463	5.742785876768013	5.870813338503894	5.952100171391654	5.310883878328428	5.601184676840919	4.797675999036535	5.809809709096388	5.429915968420845	5.342706711427809	5.543752420883603
YDR501W	0.8665607935252733	0.9185921147013502	0.819677187883741	0.8860333952511935	0.8880061602379032	0.8956556887395885	0.8953965829102831	0.8552015296503253	0.8264516754861073	0.9021750899575208	0.8880061602379032	0.8776299946499793	0.8513296959887352	0.8674471753260676	0.8734789096698959
YDR502C	2.749757338329535	3.1693811283639923	3.1610931044790367	2.6824630766988307	2.625483020441674	2.796620594262447	2.89588992947028	3.137551346847112	2.677934910856538	2.4584249128714344	2.7526555444187655	2.994633629429548	3.089646291723896	2.82889980552918	2.6824630766988307
YDR503C	1.0797602750252724	0.9899569520671597	1.0810497103780723	1.1004544921777089	0.9881182489726661	1.066400509237513	0.9995669385657704	1.1401134944497313	1.0387790240030372	1.013873904293828	1.0578319801547438	0.9623333631246525	1.0266135223538781	1.0402883814425976	1.028629585526096
YDR504C	0.8396882223163106	0.8693170771215795	0.8464496693006938	0.8392490947821156	0.855606221445281	0.8410643315307594	0.8353785587149113	0.8179079740307716	0.8656713306479007	0.8120187433496416	0.9090171575009081	0.8244145855901484	0.8332693022589723	0.8953965829102831	0.7983323225574993
YDR505C	3.724395688963964	3.843505593874686	3.4296909618416516	3.4360358717210846	3.391999362612405	3.671598316634884	3.3053041920082746	3.166095650319499	3.508009486742802	3.4782530836450087	3.917849106492046	3.4056426378175786	3.2730059497751274	3.4278401444799966	3.2730059497751274
YDR506C	1.2227123072711532	1.1817095527971675	1.1439756231383313	1.1427169071468442	1.147213743152999	1.1396220270305355	1.118847622987004	1.0946528483688078	1.1396220270305355	1.1252655021617393	1.171629642308065	1.084521568926953	1.0726212032420115	1.1292779373158441	1.1015373725244124
YDR507C	2.0520611072252235	2.6262749615562733	2.4192254198375087	2.5991674479953075	2.563952923036763	2.0502692270069325	2.633905462446144	2.51634445148803	2.6505604269282848	2.6270003011324707	2.1044994661715775	2.5900522213497887	2.4739120569869946	2.4648304221105475	2.533633787203379
YDR508C	1.7749713682438706	2.363026628901173	1.5975116473931004	2.089557538335789	2.3103178877651684	1.7074601572429107	2.3797236472893077	1.5958751215438975	2.036506935782838	2.1220310761730024	1.7804075992702204	2.129475357883412	1.6791619529560347	2.107967220436099	2.442024302619494
YDR509W	0.34310138635996845	0.07896732466064874	0.08903479605704027	0.2518792436918613	0.37387252367383783	0.0676646443126364	0.07728901071736932	0.07854303402719548	0.07604167921554317	0.05991785287024575	0.355504817933152	0.07978963743328191	0.0962134072131199	0.2990570647739067	0.28018817801421986
YDR510C-A	0.06933507313945372	0.450650137424209	0.3966468050986687	0.07688096762005135	0.3844484752166766	0.4314369070795695	0.2781672185700833	0.40388447227285634	0.37039413573391883	0.22828832238147734	0.36536256325255323	0.07978963743328191	0.47631938501024995	0.27359411131952976	0.41884760485157513
YDR510W	2.5258911909684456	2.7776233002036874	2.89588992947028	2.596046498378841	2.8253128196123045	2.719341678209239	3.021998183373067	3.104228067703967	2.6040404443680325	2.753755113227875	2.6661784070842094	2.8908517674092424	3.182553065673919	2.6358875707094205	2.8472904485065085
YDR511W	1.0493895499087127	1.1115395336575615	1.0462026339479127	0.9021750899575208	0.92876701345025	1.0981467611512512	0.931344610125167	0.9861780693763333	0.9778991303959013	0.9539984879750607	0.9666333603794421	0.9639218895266845	0.9539984879750607	0.9497883643634266	0.9422506509328914
YDR512C	1.2120913438609757	1.004514712070876	1.118583382680228	1.0695714567178851	1.115666018097218	1.2392968370927473	1.1123526696007098	1.2328644558088235	1.0747837928505608	1.1708048482348268	1.2250099284879261	1.1281596071155742	1.1160724011384704	1.1393770306294333	1.1241188187581006
YDR513W	2.6790316559669365	2.185979958495815	2.3396416521446395	2.2231737689260465	2.0729245141686885	2.755210842361506	2.200116393892349	2.3441191596722715	2.06746050456616	1.9430454527920054	2.504981922626615	2.1747976931760897	2.1227317660179015	2.1528004417926376	2.01300549183581
YDR514C	0.9376233609444846	1.0229224682892946	0.9811009972619213	1.045288278434293	1.09668074432881	0.934316679094194	1.1088046280267125	1.079348256686469	1.077169537786969	1.0938815564260522	0.9740586938739562	1.0789248223624046	1.0625301810691234	1.0153900371427005	1.1703553691207162
YDR515W	1.4090092684143518	1.4254114859201703	1.5390825258901717	1.3982116664248392	1.3435200615341056	1.4272460233170932	1.3127313032005414	1.365390131388766	1.477284535016142	1.367663927561523	1.4570465581937915	1.3898996397560617	1.4703271193736804	1.3817753925185328	1.3254663034299372
YDR516C	6.231904269880305	4.240273134165573	5.852973332697623	4.231933106758978	4.2535189859670375	6.0046331196723015	4.720626624516148	5.186682940928689	4.070857311081234	4.083833937255967	6.8146302161237005	4.30480075709098	5.105440806954331	4.356020865238346	4.140994159752146
YDR517W	2.1917555664264334	1.799318363207108	1.9308375276575502	1.71732015599715	1.756442059797683	1.953106770249105	1.87081210205011	1.9056555129007529	1.8350156640789967	1.7074601572429107	2.18505663789754	1.82319058787925	1.8540752626075272	1.8540752626075272	1.881596706382873
YDR518W	1.9136837376474125	1.8932783456611735	2.1240616986806673	1.9534907705893034	1.8292073487321752	1.873870147159618	1.7786848525344268	1.943618278400735	1.881596706382873	1.8021741925661856	1.9756411735728747	1.8582246046504713	2.062190772160638	1.8999045250906699	1.6572391639895652
YDR519W	1.428057804522488	1.4323199010086256	1.3801924629098998	1.355767379907037	1.4367794960346794	1.4518807979305581	1.3304262811115937	1.3929997223102353	1.4212511101597605	1.3847956588318653	1.4114164461051828	1.4585604137045687	1.4230001805754744	1.426428814665335	1.3710100815391915
YDR520C	1.1861996809601945	1.2075333296156616	1.2217037886609887	1.2457892209843653	1.2920697737077649	1.1861996809601945	1.2632038420686231	1.2817887660317409	1.28926302712394	1.289611131726206	1.2010653935868956	1.1886690744453223	1.3231720179643003	1.234461571288738	1.2813366953433494
YDR521W	0.06933507313945372	0.37164851790994813	0.314488435443962	0.07688096762005135	0.076461414814712	0.0676646443126364	0.45251140107990856	0.07854303402719548	0.24586199416948817	0.2554340007137516	0.07896732466064874	0.25967895804724017	0.0962134072131199	0.2990570647739067	0.31975824705013556
YDR522C	0.686450308966097	0.6798872843417263	0.6996539401835988	0.58727756212579	0.6777665098433647	0.6816973740221604	0.6266626674521516	0.6489281862788827	0.6589989657328161	0.6735613781581412	0.7004180034537568	0.6884716899080732	0.6996539401835988	0.7110681275338336	0.6245602546499817
YDR523C	0.7662448835381191	0.8238503089051317	0.859400819449836	0.7727346830334092	0.7813446558824603	0.7456878211380533	0.7360732398811609	0.8147114265620764	0.7498178338046669	0.7918997888802307	0.7730463931420015	0.7744499811378334	0.8504834830773427	0.7592908429845212	0.7721249037382876
YDR524C	1.5438264059378304	1.7083314206895504	1.5191262638811427	1.6469683392166008	1.704032615821369	1.7257446134378525	1.5809322123701661	1.48867357331999	1.655873870707244	1.6741048336912163	1.6114417030897252	1.6440870987795093	1.5023382484931724	1.6766235412551502	1.6282871012831848
