Gene	SRR4018567	SRR4018568	SRR4018569	SRR4018570	SRR4018571	SRR4018572	SRR4018573	SRR4018574	SRR4018575	SRR4018576	SRR4018577	SRR4018578
YAL021C	3.89663017846107	3.843505593874686	3.726726521073169	3.7415128290935993	3.6124782778310065	3.507226244285866	3.5898230736125627	3.431911767890056	3.6235567109959472	4.067226140994536	3.9077579934248936	3.5276099935724625
YAL022C	2.196439666780048	2.163946810209142	2.086432281585506	2.244164206259806	2.084998280115087	2.0612184609857387	2.224654754674008	2.093462969424129	2.1187806482908575	2.4182782119611415	2.392963685271491	2.309650069673859
YAL023C	6.390453889385295	6.13617220976214	6.080196785203378	6.18335616835546	5.8754813720011185	5.933651173972283	6.220510705316173	6.227864180886803	6.323736214613266	6.420164204358091	6.210038370703174	5.89275941867192
YAL024C	1.2014263790212436	1.2532432870454693	1.1909111334814293	1.2139641174996012	1.2272924054486942	1.2092121480210518	1.3127313032005414	1.258472281617596	1.3051237130938609	1.3702952800476016	1.322648403271539	1.2703692492545162
YAL025C	3.4960976330688256	3.882236909035906	4.027398722258828	3.8691882660683206	4.447843680683482	4.30480075709098	3.3310775484059496	3.8545781800597165	3.49899322232656	2.6325133510976406	3.549547154078933	4.067226140994536
YAL026C	1.8917751061657104	1.996123316979252	1.962763251898787	1.8718570360116171	1.9328995678360057	1.9203345613592129	1.9328995678360057	1.9877350342247884	1.880616109941689	1.9261515801217977	1.9735730661320006	2.0173867734600286
YAL026C-A	0.8776299946499793	0.9054340360603996	0.8993934380016684	0.8953965829102831	0.9345590653476046	0.9730493947980918	0.9028068243237937	0.8805447177035913	0.8732065158449756	0.8671945633127656	0.886334230521274	0.9355611998651803
YAL027W	1.0289670333660514	1.0297661020960756	1.0156253120119332	1.013873904293828	1.0564924386958003	1.0647419673458214	0.9792969387754891	1.018835033714013	1.0074419717763372	1.0279679621525177	1.0944028803141372	1.077169537786969
YAL028W	0.9485732904792217	0.9213006999206416	0.9091841839211225	0.9118464374425128	0.9007880486570734	0.9472163901792807	0.9554768400933411	0.9590495739409155	0.9837819509074248	1.0315712963259398	0.9193914464984714	0.9024798770661814
YAL029C	2.283032536409964	2.2756724423682018	2.2546621950403525	2.4584249128714344	2.3934719300908966	2.4338004342323565	2.1991034579489344	2.1941809605894056	2.1522949864640464	2.2732248906132044	2.319030918203482	2.399710651957608
YAL030W	1.5200725027731843	1.5742548569417054	1.5513605404469424	1.6016840232677039	1.5352227310833466	1.4542909008792435	1.761528054872612	1.7261085877193214	1.7379309142590058	1.7065358020084878	1.6184471035842758	1.4005840534373648
YAL031C	1.5687856121738433	1.619203867611749	1.5724050148468607	1.5422187127331843	1.493437510661418	1.5149233698512463	1.6352985516677347	1.6059044826988853	1.6230057909606788	1.6355911414524873	1.5809322123701661	1.5412233389357999
YAL031W-A	0.2910593819793166	0.2834626217739799	0.3296764814923524	0.31899004249676943	0.361989692784645	0.09534603529946473	0.21858354089147194	0.07143798363665636	0.2028463312656251	0.2969938070507238	0.07225061366584558	0.2825998920652203
YAL032C	1.344013453812479	1.3370281997818876	1.4529921252409184	1.3309889362146703	1.367663927561523	1.3322400498776052	1.3360569484895193	1.3363444264053528	1.3664201089825074	1.2943492727297654	1.366136991828407	1.4912881162628386
YAL033W	1.2876972758735103	1.3186134035489845	1.3627398871813172	1.262269595943913	1.4780939464507663	1.456563948743707	1.212414223824298	1.3042978284466646	1.2732898267835768	1.205683372802935	1.2648243467325255	1.31822267386797
