Gene	ERR2088803	ERR2088804	ERR2088805	ERR2088806	ERR2088807	ERR2088808	ERR2088809	ERR2088810	ERR2088811	ERR2088812	ERR2088813	ERR2088814
YDL175C	1.4307648632921324	1.591821957709821	1.6873438021216307	1.555282055982441	1.754703535169264	1.5240821983093682	1.5589393718562143	1.4161841791384542	1.3860406599681088	1.042602442106082	1.5712761694264565	1.420606758630387
YDL176W	1.322648403271539	1.4769803192567799	1.4152291176767235	1.3808728448729584	1.3768966665030158	1.4717313078148495	1.4632159532220197	1.4495700064344568	1.3714745981413565	1.042602442106082	1.4821373410885417	1.3999464585232952
YDL177C	0.8398666167005169	0.8693170771215795	0.7780567991991438	0.8419900420316895	0.8744615318332807	0.8280128102209814	0.9782114738024509	1.0595443395303565	1.0266135223538781	1.042602442106082	1.1006948534850198	1.1073779148074274
YDL178W	2.271833913024753	2.6349816439683265	2.487043875477618	2.640437525170099	2.642778583062344	2.4621422991302735	2.426656796437305	2.294674582234574	2.0767096836580383	1.042602442106082	2.499442821805013	2.2486781702158036
YDL179W	1.4743893108957125	1.26251763504236	1.5286315187215744	1.5151191164041753	1.3705138363826972	1.215345484340581	0.9818580422591981	1.0493895499087127	1.0530858437603978	1.042602442106082	1.0834313330097662	1.0984668463794307
YDL180W	1.5521130444213624	1.904796816096233	1.7741012237337048	1.5785978646517456	1.7030023944018917	1.9206536517529418	2.2225125325132287	2.425351091910731	2.0410632217805955	3.4737630084243505	2.451004067831933	2.314148629464103
YDL181W	4.011192371455821	4.953051394119006	4.313045056291725	2.770042601521292	4.391961552362714	4.540048371986402	5.326030439799245	5.303056742831767	4.444065371899854	1.042602442106082	5.176222985074224	5.321835094248071
YDL182W	3.3445463428422366	4.256953464564005	3.575855586305434	2.0637444066267934	3.662937372497454	3.654455590707135	6.073954455418308	4.677605205462388	3.761389737018569	4.5205703005216975	4.829396729634247	4.563463528266924
YDL183C	1.5340821572913481	1.4644004431882471	1.6684657613411378	1.8149540265150619	1.696452216209529	1.477284535016142	1.3514342363286047	1.4326650351474521	1.1268318869429659	1.8567523784198223	1.2411295327381593	1.4202205763178386
YDL184C	2.2546621950403525	2.4182782119611415	3.4260137520783447	3.3154259110045925	4.36855957616727	1.9664742396307613	2.471907521266604	3.090984962855438	3.6124782778310065	1.761655532406179	2.5274925095798535	3.561811285658851
