Gene	SRR5798519	SRR5798520	SRR5798521	SRR5798522	SRR5798523
YER055C	1.6072216339180239	1.5975116473931004	1.9176925829077895	1.655873870707244	1.7090541945267095
YER056C	2.52527947939823	4.387872653029509	5.460632508406998	4.616070553772031	5.742785876768013
YER056C-A	1.7276357640527058	2.2318697734187407	2.3111140052927435	2.571648233800241	2.3481389080244863
YER057C	2.8726040397390435	2.007603000657466	1.6708731331891502	1.7821200339088752	1.550505112020556
YER058W	1.3454943073706578	1.0484698036266493	0.8316753871885318	0.8015314364428036	0.874127632036666
YER059W	1.1652080313828268	1.055859905525443	0.9164160080024946	0.8765036458839977	0.962559612363243
YER060W	1.577736698775483	1.4790898830464438	1.5673810408813813	2.6713800948005644	1.7792736050532816
YER060W-A	1.1435093002611563	1.045930600172146	1.0031285007005186	1.5724050148468607	1.025963756818711
YER061C	1.6527747309165848	1.226352706965762	1.240630476460768	1.1975476405536083	1.1206940516546104
YER062C	7.389481151001053	5.876905206211132	7.8475530104494045	8.056476510665892	8.307477791845907
YER063W	2.1591907354939264	2.353934357128349	2.3062958056677294	2.2200963578949175	2.101554725653784
YER064C	1.0999972903767248	1.5951594670009275	2.0842103592964696	2.1220310761730024	2.1582227133815777
YER065C	1.9976876306745353	8.656766651976838	4.991099547910796	6.6946860322910435	3.881007457996392
YER066C-A	0.6877504396333629	0.997873050563714	0.7066668631962603	0.7088185628369598	0.7346057438576441
YER066W	0.8343121206638889	0.8186479027339597	0.8677021040273802	0.7370718137938708	0.886334230521274
YER067C-A	1.1338262821511904	2.4639452042185823	1.5966652004100594	1.941811511220414	1.6224288663871793
YER067W	1.001397139224308	2.163946810209142	1.6672961018269323	1.9834816823815609	1.7070084410825748
YER068C-A	0.6274808535682953	0.5557267975916933	0.5021547946305174	0.372416159770899	0.48234657897494654
YER068W	2.0095303664941184	2.41658291362499	2.0566636146801676	2.0144356144853104	2.103911418952226
YER069W	2.5535227822138262	2.2165167044196474	1.9136837376474125	1.8986893293054876	1.8146625477499978
YER070W	0.9497883643634266	1.2645076695463915	0.9123594586163369	1.3447421697264874	0.9172485395278134
YER071C	1.3012237171883148	1.0420401458849309	0.87212406144714	0.9849088553355517	0.9168990756275559
YER072W	2.331762874390094	2.8416441861687503	3.584153114000686	2.7203105077828407	3.6406285928384454
YER073W	1.9608064618338346	1.7411013528805324	2.3611228017884165	2.587067901457917	2.645560222238343
YER074W	2.054097113609882	3.1468027583825147	3.181823476589524	3.539653072136492	3.1404649890042178
YER074W-A	2.0015163049427462	1.4449375585938742	1.5429828369967022	1.6804891354046148	1.779858076902495
YER075C	1.6080922606842576	1.6328774071812966	1.8616516294905228	1.5629764920132145	1.7579964491070088
YER076C	1.3604544697820158	1.1144224690010438	1.0107564534935967	1.0325945402944576	0.9830928534222654
YER076W-A	0.6660740326357224	0.5399553012110659	0.5824664208958594	0.500999257209331	0.4960102775453341
YER077C	1.244238157049767	1.2338098967694795	1.429801764449501	1.7074601572429107	1.5693801619355856
YER078C	1.1383373572826108	1.8534097092462505	1.7618191695568337	1.409720059154568	1.7600913978765467
