Gene	SRR7241903	SRR7241904	SRR7241905	SRR7241907	SRR7241908	SRR7241909	SRR8093860
YER174C	1.6059044826988853	1.6244679009270193	1.7319089732047384	1.8903053336755336	1.34834991061192	1.2600294301319235	0.7408883092393593
YER175C	1.1206940516546104	1.1048146401221217	2.353377786881194	1.921292132704531	2.1220310761730024	2.2391338607264943	5.158695533469638
YER175W-A	0.24586199416948817	0.3042977321525522	0.6268671720007402	0.5697006822269474	0.708626491478802	0.7042181890061812	0.37164851790994813
YER176W	2.160608664437357	2.069263086587821	1.4063600036864998	1.489797785612193	1.9854411309292885	1.9995788231282872	0.8641608440698615
YER177W	7.24882279610034	6.624391117118731	7.440454892985944	7.880422303718248	7.093352780634183	7.67316597340002	6.609745464117811
YER178W	6.112204236437471	5.8163593077011475	4.784804380362973	5.590674566259598	6.045619567726437	5.939567988901661	5.429915968420845
YER179W	0.8404191427597943	0.7950695989513628	0.7939611966703408	0.7845026749382638	0.7819904133911513	0.794357545989913	0.7822860056713643
YER180C	0.6476309026139548	0.708436578497933	0.6624601146568991	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YER180C-A	1.060253286938782	1.072912347507133	0.9485732904792217	0.9535069825310538	1.160746274142303	1.344013453812479	0.9872918967891516
YER181C	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YER182W	1.2954559584274978	1.1975476405536083	1.8431268008292212	1.6738484350946745	1.357093238637974	1.3591225244124157	1.225273978265223
YER183C	1.3728223154437171	1.4227511788012202	1.3712498391396108	1.2100395802619837	1.3705138363826972	1.5149233698512463	1.2532432870454693
YER184C	0.9086249945996636	0.87212406144714	0.8615809978748104	0.9229124758316769	0.8854780728393037	0.8874503656934137	0.8071320792096344
YER185W	0.7408883092393593	0.7704130611401838	1.0039876098422933	1.2962898154570461	0.7759456427273681	0.8063237854509726	0.9168990756275559
YER186C	0.716988059776866	0.7504586126648863	0.7289944260234733	0.8653875869893902	0.6884716899080732	0.6293735066404549	0.8031571360936979
