Gene	SRR1583716	SRR1583717	SRR1583718	SRR1583719	SRR1583720	SRR1583721	SRR1583722	SRR1583723	SRR1583724	SRR1583726	SRR1583727	SRR1583728	SRR1583729	SRR1583730	SRR1583731	SRR1583733	SRR1583734	SRR1583735	SRR1583737	SRR1583738	SRR1583740
YOL101C	1.2260827950718258	1.3642065446550553	1.0973958487762088	1.2546437886463495	1.2739685314162494	1.525549913554145	1.3113293182729224	1.1056865725101892	1.2767524280226594	1.255463134307304	1.3878538518315473	1.7338701492977489	0.8603163343069447	0.9021750899575208	1.3284336259639096	1.0822405960504522	1.303972785922936	1.3514342363286047	1.073337707568333	0.9401020737262188	1.0195858238285196
YOL102C	1.4174075111686923	1.8776693480829374	1.6835046411755354	1.5887847389256267	1.9303438812689757	1.8123120392810428	1.7786848525344268	1.8140548349445929	1.5168507687864985	1.8341363836587008	1.4617610876026061	1.371723326688851	1.453436237371789	2.0588394178647915	1.5484473938102592	1.5313347836832316	1.708706861322224	1.637863482863259	1.4312958156696933	1.2956374364029168	1.2397075398471884
YOL103W	2.451412766524927	2.463348756945138	3.161770939471084	2.3453319502526253	3.075698055216135	2.4706870115975548	2.6000404009872016	3.6406285928384454	2.725723552137694	2.9544420380883674	2.994633629429548	2.353377786881194	2.095610926617149	2.9520215130947154	3.391999362612405	3.58023119405639	2.2618988363875445	3.0921484356185216	3.21181381973382	3.7134573590578706	1.8582246046504713
YOL104C	0.6362246869927217	0.31144409511598875	0.30385447005348304	0.376478108894752	0.2818358008849934	0.681317910558581	0.30757530693119306	0.49777900713456935	0.6709522371016416	0.8353785587149113	0.8167127524983759	0.40805289325960276	0.8603163343069447	0.9021750899575208	0.3171276130404578	0.314860972930152	0.6032366703699997	0.3289218734151451	0.7070077423458438	0.5766481620575882	0.3424169409188892
YOL105C	1.1771149012160218	1.1591032195683235	1.1295162184386431	1.0878250298584473	1.1598775651758408	1.0659727792217333	1.0268598957628912	1.5265263479016458	0.8925862188309831	1.1396220270305355	0.9693427296691977	0.9024798770661814	0.8603163343069447	1.9669141648565456	1.1443040696608044	1.4612825034216699	1.294598580774264	1.1347591021323722	1.2455301599760489	1.0309869218166934	1.0747837928505608
YOL106W	2.554144860755758	2.5535227822138262	2.0272295752051317	2.504981922626615	2.2362057087196514	2.184502857633524	2.0401251807843512	2.312557771902391	1.8809330215793394	1.82319058787925	1.9267263436590925	1.669035369785525	4.907260539092376	0.9021750899575208	1.496920612356231	1.8396312173713107	1.6819154922699322	1.837403779843751	1.6819154922699322	1.8183220320019653	1.9430454527920054
YOL107W	1.4293822501840607	1.4041196434249055	1.215345484340581	1.3276576782285763	1.3291584298592605	1.56620295998521	1.1960528943257536	1.0689553786075479	1.1903273489545199	1.111007564986213	1.018835033714013	1.0622461213374534	0.8603163343069447	0.9021750899575208	0.9927062818899346	1.1526074229988923	1.2730838875026913	1.0714517132720627	1.2084135965955751	1.3037080375510126	1.3805399877120168
YOL108C	1.1732901681432166	1.4995324972953474	1.2717795696074181	1.0548674886789788	1.2494613910411334	1.2866045501072783	1.4254114859201703	1.811686807952165	1.4880607147368214	1.3987662411436639	1.5313347836832316	1.1914553965456458	0.8603163343069447	1.4315064601750018	1.4793870634657194	1.582506676160898	1.3714745981413565	1.51249742490076	1.6385255569838333	1.4988977276947475	1.3281722208927422
YOL109W	5.845854340991659	5.505269729727541	5.70507603795002	5.930064350653287	6.082735841766783	6.227864180886803	6.663710832433891	6.080196785203378	5.511250250564805	6.741414169621715	6.741414169621715	6.00107885420385	5.121122411103784	4.278916416200948	6.231904269880305	6.741414169621715	5.460632508406998	5.872943687130077	5.625122746892046	4.737168719992216	5.458075625872152
YOL110W	1.078686699452516	1.3144254883349158	1.163439867660815	1.1381402983854527	1.2833314067653803	1.226599088810843	1.3108973634494978	1.543550238161289	1.3772427962180804	1.4765885146086457	1.0854487696548614	1.6133523756152044	1.3332888640237497	0.9021750899575208	1.443233947025976	1.529013740967798	1.6996353658386003	1.4570465581937915	1.2673286941200257	1.3192058760311487	1.5887847389256267
