	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
ADR1	13.3497	14.1192	15.321	6.30085	5.47266	5.19916
SYG1	8.32272	7.90965	8.36996	10.8838	11.4874	11.3564
ATG5	7.66153	7.35402	7.94213	11.0597	11.8124	11.1853
MRPL20	11.2339	10.0159	11.1704	5.0863	5.60496	5.07309
YKR070W	9.94646	9.9649	10.1385	8.16325	8.21417	7.76784
NFS1	11.86	11.1681	11.1782	7.56301	8.04508	8.00248
POS5	8.33518	8.415	8.93489	5.37137	5.07914	5.6513
EXO5	11.1435	9.57918	10.2616	3.77474	4.44908	4.04947
PDC5	8.81241	8.07517	8.59391	12.2347	13.0968	12.6384
MTF2	10.7342	10.0328	10.2211	5.07101	6.08742	5.12979
MRPL22	11.1822	10.1337	11.3371	5.73702	6.13854	5.7949
HMLALPHA2	4.63819	4.24335	5.52622	11.4814	13.066	12.6295
HBT1	1.69348	1.85373	2.03755	6.73085	8.01229	6.8162
INP2	10.1763	10.4013	10.0098	13.4734	14.174	14.4282
MIS1	11.3318	10.3254	10.8449	7.15888	7.25396	7.16489
YGL039W	7.50435	7.30403	7.94934	11.476	10.7482	11.1521
YNL092W	8.69698	8.99041	8.47462	12.0505	11.7563	12.5378
CAT8	9.61524	9.9727	10.6695	6.25784	6.12364	6.21766
COQ6	11.3269	10.6886	10.9871	7.98224	8.19372	8.42783
PTC6	9.85377	10.7137	10.6067	5.63075	6.36616	5.65874
ATP10	10.9317	10.2058	11.1097	6.37452	6.95641	6.38317
PET309	10.1562	9.02459	9.61924	4.40032	5.05767	4.29694
RTR2	9.8546	9.17035	9.28249	15.679	17.1742	15.6662
FMC1	13.2404	11.5144	13.0215	5.65341	5.95885	5.77155
IMD4	12.0819	10.7758	12.0539	6.1929	6.1474	5.74291
RAD33	8.32313	8.59696	8.80333	10.2776	10.3027	10.2949
BRE2	8.3481	8.61933	8.65285	10.1695	10.0242	10.3404
HOR2	5.8702	5.08382	5.80606	13.2723	12.2901	11.5785
YDR282C	9.61717	11.2241	11.276	3.84914	3.24673	3.76293
MNN1	15.6205	13.2232	15.847	3.4006	4.31508	3.06107
MST28	8.50487	7.90123	8.9301	13.7119	14.8082	13.8008
RSM19	13.3536	11.4927	12.8719	5.26324	5.76569	5.27106
VAC17	7.17429	6.03803	5.88342	18.6014	21.5728	18.5508
GPT2	6.50706	6.68562	7.53324	11.0269	10.8196	11.2249
URA2	8.08878	7.63712	7.85175	9.58914	9.44999	9.534
MRPS9	12.9182	10.9927	12.3619	3.88113	4.85314	4.07832
RTS3	3.896	2.48993	3.81351	16.1763	19.5581	19.7312
RML2	12.7216	10.705	11.8017	4.01186	4.67549	4.13866
VPS3	8.24593	8.32637	8.28681	10.0533	9.75327	10.2411
SLS1	10.0853	9.33831	10.4478	5.7261	6.04938	5.88816
POX1	3.48363	3.71619	3.79868	10.9911	10.2679	12.3923
VAR1	13.5432	10.7585	11.7597	1.99065	2.36646	1.7467
YHR162W	0.544624	0.756662	0.955915	10.3536	8.22153	10.52
MRPL8	12.1994	10.6544	10.7596	5.03059	5.34522	5.08306
SBE22	12.578	11.5322	12.8721	7.17854	7.53814	7.22548
