Gene	SRR1259524	SRR1259525	SRR1259526	SRR1259527
YER006C-A	0.48105953064397666	0.5514640123641901	0.28018817801421986	0.31370283054179265
YER006W	4.8791673437465395	4.5791405736007915	1.7363114281401189	3.1568637378218414
YER007C-A	3.3304551213520375	2.787002279476151	1.691279418889615	1.956957804160993
YER007W	1.1547646614635427	1.0031285007005186	1.2177858019290415	0.8495798478255183
YER008C	1.8424103385145454	1.6074617685943902	1.8132040557997715	1.557741381426907
YER009W	5.342706711427809	5.209693316440736	3.788016221162564	3.957461746675649
YER010C	1.4045529313502614	1.2962898154570461	1.9565840585072023	1.7012643811288246
YER011W	0.807821258704055	0.41178327705361684	0.12628717608581289	0.16767766916029994
YER012W	3.4503196609897824	3.7483548991793736	4.268580058995462	4.334875072048613
YER013W	1.1642160047536565	0.9485732904792217	1.2275746438777642	1.0552828069732747
YER014C-A	0.7363840960855123	0.7526077496393166	0.7711101213283064	0.7526077496393166
YER014W	1.500900979224077	1.4454021888987838	2.038647588558262	2.0242648682197557
YER015W	1.0441769478999707	1.3239527733037053	1.681155314578522	1.876659081543017
YER016W	2.0235714114517824	1.8168572078861807	1.7510898630719753	1.3644767947734457
YER017C	2.549373727879057	2.4525972203970183	2.2476412412431905	2.1107076493990338
YER018C	0.929686486637006	0.9985801631474157	0.8641608440698615	0.8621328557902594
YER019C-A	3.061952215618842	2.926157953331201	2.571648233800241	2.451412766524927
YER019W	1.4400051599690813	1.6565084156699605	1.6706460461163535	1.6184471035842758
YER020W	1.527905180576128	1.860265320714296	2.51634445148803	2.2011876759701527
YER021W	3.698042987336524	3.698042987336524	3.9077579934248936	4.095236536566812
YER022W	1.6617231998737605	1.588186734159945	1.4937428567637814	1.5390825258901717
YER023C-A	1.357093238637974	1.3521271681535545	1.6471991657630418	1.4220022418626932
YER023W	2.8951249004244923	2.9710294126625185	3.8703160763739266	3.481475867398071
YER024W	1.2217037886609887	1.1970630687513992	4.324548298506275	3.2027544569151765
YER025W	5.103148485932367	4.622827840259459	2.7806199396813334	2.9206158074055635
YER026C	4.073882342470501	4.353189861298398	2.459253000752537	2.3718891893662852
YER027C	1.6366851327981384	1.6731167126326012	1.326882406631268	1.371723326688851
YER028C	0.9182953641434657	0.9805470388355368	1.042602442106082	1.1147454960375733
YER029C	2.0031792404932505	1.793902741080927	1.550505112020556	1.7150233038725329
YER030W	2.221812778578871	2.7543924964201825	2.0502692270069325	2.3755996625834523
YER031C	3.0484609464179986	3.2929327541440774	2.3448853637769105	2.442024302619494
YER032W	1.557741381426907	1.7376136839565888	1.1235448971309427	1.1983910834877463
YER033C	0.8729006504744858	0.8930669554182012	0.9632418909111051	0.9474689797920726
YER034W	1.0201459941452866	1.0813844627376465	1.2003944101257542	1.1216818276527338
YER035W	0.9213006999206416	0.9590495739409155	1.4400051599690813	1.0110887800510513
YER036C	5.852973332697623	5.520114001898591	4.036302961834079	3.766671843039583
YER037W	1.0093514752062132	0.9263967115040264	1.941811511220414	1.2457892209843653
YER038C	1.1088046280267125	1.029298818094028	1.0763288059359892	0.9480567405730473
YER038W-A	0.45393492735857865	0.6116409757153656	0.7916112239034648	0.7613723752648174
YER039C	0.7724329019330936	0.9102550743406389	1.6952565112766385	1.3495715360828158
YER039C-A	0.5601014636166457	0.6632336743697735	0.9256615853977057	0.8734789096698959
YER040W	1.340722142523461	1.3144254883349158	2.984623930565696	2.5125186848727035
YER041W	1.3262303338390464	1.2987604570715638	1.34834991061192	1.1258806257292258
YER042W	1.7612536311448315	2.661225879500874	3.3715707598044173	5.221787266494389
YER043C	7.520099548812197	7.0222452048708615	5.751803460265659	5.89275941867192
YER044C	3.5898230736125627	4.216165684498227	4.468786538519117	3.8740733043045776
YER044C-A	0.6100587337237078	0.7969217545671694	0.6830685864230827	0.931344610125167
YER045C	1.3999464585232952	1.2081516883525711	2.2237160231710478	1.6681274087058044
YER046W	0.757094056010594	0.7683673250961773	1.6137712897320107	1.1941738056438247
YER046W-A	0.42828812503704794	0.5334409002906811	0.5341550385466125	0.5490332218983595
YER047C	1.1886690744453223	1.093232777079947	1.4620306211173244	1.339208334197422
YER048C	2.7213354968237686	2.61708741874268	2.6908270519897903	2.9806295482895804
YER048W-A	1.8037900478567734	1.9756411735728747	2.104829009437323	1.827774732626713
YER049W	4.790289491312537	4.568864649693825	4.083833937255967	4.080559692772242
YER050C	2.2430111390716405	2.0272295752051317	1.8522239115971626	1.5580920644111047
