	log2FoldChange	FDR
YLR088W	-0.264662208	0.173151892
YBR076W	0.435819842	0.173477578
YNL042W-B	0.961739793	0.173947255
YHR153C	-0.88779385	0.174548987
YNR020C	-0.238561632	0.175877168
YHR199C-A	0.444969844	0.176056944
YJL199C	0.291541652	0.176056944
YJL208C	-0.212546578	0.176056944
YLR004C	0.271402495	0.176056944
YNL284C-B	0.517819102	0.176056944
YPL244C	-0.181706775	0.176056944
YPR015C	0.357549112	0.176056944
YDR332W	0.178337762	0.176140766
YGL163C	0.399786376	0.176140766
YMR116C	-0.227774235	0.176140766
YDL156W	-1.024872689	0.176300905
YGR138C	-0.696349832	0.176300905
YNR057C	0.281381587	0.17660118
YOR386W	-0.263694992	0.17660118
YOR114W	-0.536986225	0.176624272
YOL056W	-0.275467987	0.176798787
YDR320W-B	-1.370175136	0.181327501
YDR528W	-0.617231955	0.181327501
YER035W	0.296292089	0.181327501
YLR311C	0.488484034	0.181327501
YCR002C	-0.249441441	0.181633535
YJL168C	-0.365557115	0.181633535
YNL277W	0.383905781	0.1817567
YDL093W	-0.431467816	0.18177425
YHR103W	-0.31800332	0.18177425
YCL044C	-0.439047346	0.18285811
